PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaTravelTimeMixed
LowIncVeh,work,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,auto,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,auto,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,auto,-3.602,-0.14800000000000002,-0.065,-0.019,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,auto,0.0,-0.14800000000000002,-0.065,-0.019,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
LowIncVehSenior,work,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
HighIncNoVehSenior,work,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
HighIncVehSenior,work,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
LowIncNoVehSenior,work,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,home,auto,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,home,auto,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,home,auto,-3.602,-0.14800000000000002,-0.065,-0.019,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,home,auto,0.0,-0.14800000000000002,-0.065,-0.019,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,home,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,home,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,home,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,home,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,home,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,home,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,home,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,home,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,home,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,home,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,home,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,home,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,home,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
LowIncVeh,home,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
HighIncNoVeh,home,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
HighIncVeh,home,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
LowIncNoVeh,home,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,home,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
