MicrotypeID,PerStartCost,DailyCostPerVehicle,DirectionalRouteMiles,PopulationMicrotypeID,SpeedInMetersPerSecond,StopSpacingKM,Headway,VehicleCapacity,VehicleSize,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,CoveragePortion,StopSpacing,VehicleOperatingCostPerHour,PerEndCost,PerMileCost
A_1,2.8694963,3990,5531.13985773877,5669015.0,9.484492139992907,0.4631395,48006.39457447708,,,85132.5342532336,1816737.41696056,1.0,1200.0,199.5,0.0,0.0
A_2,2.4753756,3990,5848.31071573335,5994092.0,9.484492139992916,0.7413098,48006.39457447704,,,90014.2692349612,1920914.16535394,1.0,1200.0,199.5,0.0,0.0
A_3,2.5128943,3990,3791.54487369407,3886057.0,9.4844921399929,0.6308624,48006.39457447724,,,58357.5595870743,1245356.58422874,1.0,1200.0,199.5,0.0,0.0
A_4,2.038843,3990,617.568815353974,632963.0,9.484492139992932,0.5682079,48006.39457447702,,,9505.30987808808,202844.332860578,1.0,1200.0,199.5,0.0,0.0
A_5,2.310196,3990,1713.81461329934,1756535.0,9.48449213999294,0.9951305,48006.394574476944,,,26378.1761125175,562913.109014674,1.0,1200.0,199.5,0.0,0.0
A_6,3.09265,3990,15.8011241804933,16195.0,9.484492139992922,1.1073607,48006.39457447695,,,243.202988919789,5189.97788287318,0.167946182899212,1200.0,199.5,0.0,0.0
B_1,3.1269672,3580,635.238288514133,919322.0,9.228510023344244,0.3520424,163258.41299822502,,,2954.7694587462,61353.2690250992,1.0,1200.0,179.0,0.0,0.0
B_2,2.5762055,3580,1940.13907849008,2807785.0,9.228510023344262,0.7502712,163258.41299822516,,,9024.43035707368,187384.60351176,1.0,1200.0,179.0,0.0,0.0
B_3,2.998836,3580,719.050008160508,1040615.0,9.228510023344256,1.0022049,163258.41299822475,,,3344.61420515682,69448.0628621459,1.0,1200.0,179.0,0.0,0.0
B_4,5.0365679,3580,96.1665426557588,139173.0,9.228510023344253,1.1885825,163258.41299822502,,,447.312399662017,9288.06066865596,1.0,1200.0,179.0,0.0,0.0
B_5,2.4719605,3580,968.737664449145,1401965.0,9.228510023344256,0.9537372,163258.41299822487,,,4506.02004980966,93563.6651888819,0.706781158781117,1200.0,179.0,0.0,0.0
B_6,2.3952569,3580,276.588417730377,400281.0,9.228510023344256,1.0959235,163258.41299822493,,,1286.53298160643,26713.7606612653,0.2111103582109196,1200.0,179.0,0.0,0.0
C_1,3.3929182,4212,2.75291930730354,7799.0,6.9832228917506844,0.2020453,519185.828689408,,,5.3211909148015,83.6078899671396,0.290398446596779,1200.0,210.6,0.0,0.0
C_2,3.4252608,4212,169.165638341926,479245.0,6.983222891750685,0.4789916,519185.82868940616,,,326.984759579952,5137.66678129271,1.0,1200.0,210.6,0.0,0.0
C_3,3.4976275,4212,67.9408765986095,192476.0,6.983222891750681,1.6088519,519185.8286894084,,,131.324726569731,2063.40713287795,0.3402364827922413,1200.0,210.6,0.0,0.0
C_4,3.8050847,4212,18.8263817483054,53335.0,6.983222891750696,,519185.8286894058,,,36.3900137762454,571.76904877515,0.6240728511360569,1200.0,210.6,0.0,0.0
C_5,3.2965059,4212,154.999699421461,439113.0,6.98322289175067,0.9872429,519185.8286894064,,,299.60303964242,4707.43831095532,0.1549350921331911,1200.0,210.6,0.0,0.0
C_6,3.0238095,4212,23.5944845823939,66843.0,6.983222891750683,1.7239792,519185.8286894064,,,45.6064065031513,716.57932928241,0.0513209669732405,1200.0,210.6,0.0,0.0
