MicrotypeID,PerStartCost,PerEndCost,PerMileCost,SpeedInMetersPerSecond,VehicleSize
A,0,0,0.0,1.4,0.1
B,0,0,0.0,1.4,0.1
C,0,0,0.0,1.4,0.1
D,0,0,0.0,1.4,0.1
