HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
C_5,9,HighIncVeh,leisure,B_3,B_3,0.0171778802204394
C_5,15,HighIncVeh,leisure,B_6,B_6,0.00944421202355285
C_5,11,HighIncVeh,leisure,B_3,B_1,0.0104112728434656
C_5,18,HighIncVeh,leisure,B_3,B_3,0.0523495318988538
C_5,16,HighIncVeh,home,B_6,B_3,0.0066065561977778
C_5,20,HighIncVeh,home,B_3,B_3,0.0193538743524413
C_5,12,HighIncVeh,leisure,B_1,B_6,0.0106976905260604
C_5,16,HighIncVeh,leisure,B_6,B_3,0.00697755147308604
C_5,20,LowIncVeh,home,A_2,B_3,0.00509484131095416
C_5,14,LowIncVeh,leisure,B_3,B_5,0.00596158986663759
C_5,15,LowIncVeh,home,B_5,B_3,0.00490434046100483
C_5,15,LowIncVeh,leisure,B_3,A_5,0.00351994518554364
C_5,15,LowIncVeh,leisure,B_5,B_5,0.00351994518554364
C_5,20,LowIncVeh,leisure,A_5,A_2,0.0303235309313096
C_2,15,LowIncVehSenior,leisure,C_2,C_2,0.444404943511143
C_2,9,LowIncVehSenior,home,F_3,C_2,0.0422070053933113
C_2,7,LowIncVehSenior,leisure,A_5,F_3,0.0725729132073209
C_2,19,HighIncVehSenior,leisure,A_2,A_2,0.0867853415325879
C_2,19,HighIncVeh,leisure,A_2,A_2,0.00229726847133283
C_2,20,HighIncVeh,home,A_2,A_2,0.00275254015602409
C_2,20,HighIncVehSenior,home,A_2,A_2,0.0376599374259957
C_2,7,HighIncVeh,work,A_2,A_2,0.00129015607444884
C_2,17,HighIncVeh,other,A_1,A_2,0.00491195063659847
C_2,15,HighIncVeh,work,A_2,A_1,0.00967505089844863
C_5,13,HighIncVehSenior,home,A_1,A_3,0.0152706251994044
C_5,10,HighIncVehSenior,leisure,F_3,A_6,0.020223315865039
C_5,13,HighIncVehSenior,leisure,A_3,A_2,0.00810204173707914
C_5,10,HighIncVehSenior,leisure,F_3,F_3,0.020223315865039
C_5,13,HighIncVehSenior,leisure,A_2,A_1,0.00810204173707914
C_2,6,HighIncVeh,work,F_2,F_5,0.00370792971738445
C_2,19,HighIncVeh,home,F_5,F_2,0.00142087374491154
C_2,9,LowIncVehSenior,leisure,C_6,F_3,0.00935180263510732
C_2,9,LowIncVehSenior,leisure,C_2,C_6,0.00935180263510732
C_2,12,LowIncVehSenior,leisure,F_3,A_5,0.00839846901531723
C_5,11,HighIncVeh,home,F_3,C_5,0.00590951360406735
C_5,6,LowIncVeh,school,C_5,C_5,0.739828178743027
C_5,9,HighIncVeh,work,C_5,F_5,0.012252107530706
C_5,10,LowIncVeh,leisure,F_3,C_5,0.00778114276144645
C_5,14,HighIncVeh,home,C_5,C_5,0.543700659389012
C_5,8,HighIncVeh,leisure,C_5,F_5,0.00513980528808144
C_5,15,LowIncVeh,home,C_5,C_5,0.60100867266663
C_5,17,LowIncVeh,other,C_2,C_2,0.0501714701718383
C_5,11,LowIncVeh,home,C_5,C_5,0.728516548334393
C_5,17,LowIncVeh,home,C_2,C_5,0.212052078382171
C_5,16,HighIncVeh,home,C_5,C_5,0.5169192643464
C_5,20,LowIncVeh,home,C_5,C_5,0.501710592888489
C_5,6,LowIncVeh,other,C_5,C_5,0.573545279216981
C_5,13,LowIncVeh,leisure,C_2,C_2,0.162227805388727
C_5,6,LowIncVeh,other,C_5,C_2,0.309557785965462
C_5,10,LowIncVeh,leisure,C_5,F_3,0.0117766272393797
