ModesAllowed,SubnetworkID,Mode
Walk,106,walk
Bus,107,bus
Bike,108,bike
Rail,109,rail
Auto-Bus-Bike-Freight,110,auto
Auto-Bus-Bike-Freight,110,bus
Auto-Bus-Bike-Freight,110,bike
Auto-Bus-Bike-Freight,110,freight_combo
Auto-Bus-Bike-Freight,110,freight_single
Walk,111,walk
Bus,112,bus
Bike,113,bike
Rail,114,rail
Auto-Bus-Bike-Freight,115,auto
Auto-Bus-Bike-Freight,115,bus
Auto-Bus-Bike-Freight,115,bike
Auto-Bus-Bike-Freight,115,freight_combo
Auto-Bus-Bike-Freight,115,freight_single
Walk,116,walk
Bus,117,bus
Bike,118,bike
Rail,119,rail
Auto-Bus-Bike-Freight,120,auto
Auto-Bus-Bike-Freight,120,bus
Auto-Bus-Bike-Freight,120,bike
Auto-Bus-Bike-Freight,120,freight_combo
Auto-Bus-Bike-Freight,120,freight_single
Walk,121,walk
Bus,122,bus
Bike,123,bike
Rail,124,rail
Auto-Bus-Bike-Freight,125,auto
Auto-Bus-Bike-Freight,125,bus
Auto-Bus-Bike-Freight,125,bike
Auto-Bus-Bike-Freight,125,freight_combo
Auto-Bus-Bike-Freight,125,freight_single
Walk,126,walk
Bus,127,bus
Bike,128,bike
Rail,129,rail
Auto-Bus-Bike-Freight,130,auto
Auto-Bus-Bike-Freight,130,bus
Auto-Bus-Bike-Freight,130,bike
Auto-Bus-Bike-Freight,130,freight_combo
Auto-Bus-Bike-Freight,130,freight_single
Walk,131,walk
Bus,132,bus
Bike,133,bike
Rail,134,rail
Auto-Bus-Bike-Freight,135,auto
Auto-Bus-Bike-Freight,135,bus
Auto-Bus-Bike-Freight,135,bike
Auto-Bus-Bike-Freight,135,freight_combo
Auto-Bus-Bike-Freight,135,freight_single
Walk,136,walk
Bus,137,bus
Bike,138,bike
Rail,139,rail
Auto-Bus-Bike-Freight,140,auto
Auto-Bus-Bike-Freight,140,bus
Auto-Bus-Bike-Freight,140,bike
Auto-Bus-Bike-Freight,140,freight_combo
Auto-Bus-Bike-Freight,140,freight_single
Walk,141,walk
Bus,142,bus
Bike,143,bike
Rail,144,rail
Auto-Bus-Bike-Freight,145,auto
Auto-Bus-Bike-Freight,145,bus
Auto-Bus-Bike-Freight,145,bike
Auto-Bus-Bike-Freight,145,freight_combo
Auto-Bus-Bike-Freight,145,freight_single
Walk,146,walk
Bus,147,bus
Bike,148,bike
Rail,149,rail
Auto-Bus-Bike-Freight,150,auto
Auto-Bus-Bike-Freight,150,bus
Auto-Bus-Bike-Freight,150,bike
Auto-Bus-Bike-Freight,150,freight_combo
Auto-Bus-Bike-Freight,150,freight_single
Walk,151,walk
Bus,152,bus
Bike,153,bike
Rail,154,rail
Auto-Bus-Bike-Freight,155,auto
Auto-Bus-Bike-Freight,155,bus
Auto-Bus-Bike-Freight,155,bike
Auto-Bus-Bike-Freight,155,freight_combo
Auto-Bus-Bike-Freight,155,freight_single
Walk,156,walk
Bus,157,bus
Bike,158,bike
Rail,159,rail
Auto-Bus-Bike-Freight,160,auto
Auto-Bus-Bike-Freight,160,bus
Auto-Bus-Bike-Freight,160,bike
Auto-Bus-Bike-Freight,160,freight_combo
Auto-Bus-Bike-Freight,160,freight_single
Walk,161,walk
Bus,162,bus
Bike,163,bike
Rail,164,rail
Auto-Bus-Bike-Freight,165,auto
Auto-Bus-Bike-Freight,165,bus
Auto-Bus-Bike-Freight,165,bike
Auto-Bus-Bike-Freight,165,freight_combo
Auto-Bus-Bike-Freight,165,freight_single
Walk,166,walk
Bus,167,bus
Bike,168,bike
Rail,169,rail
Auto-Bus-Bike-Freight,170,auto
Auto-Bus-Bike-Freight,170,bus
Auto-Bus-Bike-Freight,170,bike
Auto-Bus-Bike-Freight,170,freight_combo
Auto-Bus-Bike-Freight,170,freight_single
Walk,171,walk
Bus,172,bus
Bike,173,bike
