MicrotypeID,avg_through_length
A_1,0.06213727366498068
A_2,0.06213727366498068
A_3,0.06213727366498068
A_4,0.06213727366498068
A_5,0.06213727366498068
A_6,0.06213727366498068
B_1,0.06213727366498068
B_2,0.06213727366498068
B_3,0.06213727366498068
B_4,0.06213727366498068
B_5,0.06213727366498068
B_6,0.06213727366498068
C_1,0.06213727366498068
C_2,0.06213727366498068
C_3,0.06213727366498068
C_4,0.06213727366498068
C_5,0.06213727366498068
C_6,0.06213727366498068
D_1,0.06213727366498068
D_2,0.06213727366498068
D_3,0.06213727366498068
D_4,0.06213727366498068
D_5,0.06213727366498068
D_6,0.06213727366498068
E_1,0.06213727366498068
E_2,0.06213727366498068
E_3,0.06213727366498068
E_4,0.06213727366498068
E_5,0.06213727366498068
E_6,0.06213727366498068
F_1,0.06213727366498068
F_2,0.06213727366498068
F_3,0.06213727366498068
F_4,0.06213727366498068
F_5,0.06213727366498068
F_6,0.06213727366498068
