SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
0,False,19339524.845815323,modified-quadratic,A_1,Auto-Bus-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
1,True,3867904.969163065,fixed,A_1,Walk,Sidewalk,,,,,,,1.35,
2,True,0.0,bottleneck,A_1,Bus,Road,,50,,0.4,,,17.0,
3,True,0.0,fixed,A_1,Bike,Road,,,,,0.15,,5.0,
4,True,8901484.618653312,fixed,A_1,Rail,Rail,,,,,,,20.0,
5,False,23452879.01696762,modified-quadratic,A_2,Auto-Bus-Bike,Road,-148.79,50,0.1,,0.5,,,
6,True,4690575.803393524,fixed,A_2,Walk,Sidewalk,,,,,,,1.35,
7,True,0.0,bottleneck,A_2,Bus,Road,,50,,0.4,,,17.0,
8,True,0.0,fixed,A_2,Bike,Road,,,,,0.15,,5.0,
9,True,9411920.367258308,fixed,A_2,Rail,Rail,,,,,,,20.0,
10,False,33242730.845707156,rural,A_3,Auto-Bus-Bike,Road,-302.29,50,0.07,,0.5,,,
11,True,6648546.169141431,fixed,A_3,Walk,Sidewalk,,,,,,,1.35,
12,True,0.0,bottleneck,A_3,Bus,Road,,50,,0.4,,,17.0,
13,True,0.0,fixed,A_3,Bike,Road,,,,,0.15,,5.0,
14,True,6101884.827030814,fixed,A_3,Rail,Rail,,,,,,,20.0,
15,False,2967523.2042055405,rural,A_4,Auto-Bus-Bike,Road,-195.76,50,0.09,,0.5,,,
16,True,593504.640841108,fixed,A_4,Walk,Sidewalk,,,,,,,1.35,
17,True,0.0,bottleneck,A_4,Bus,Road,,50,,0.4,,,17.0,
18,True,0.0,fixed,A_4,Bike,Road,,,,,0.15,,5.0,
19,True,993878.1973017644,fixed,A_4,Rail,Rail,,,,,,,20.0,
20,False,16566040.4248317,rural,A_5,Auto-Bus-Bike,Road,-147.41,50,0.11,,0.5,,,
21,True,3313208.08496634,fixed,A_5,Walk,Sidewalk,,,,,,,1.35,
22,True,0.0,bottleneck,A_5,Bus,Road,,50,,0.4,,,17.0,
23,True,0.0,fixed,A_5,Bike,Road,,,,,0.15,,5.0,
24,True,2758110.4097671597,fixed,A_5,Rail,Rail,,,,,,,20.0,
25,False,1514138.68119264,rural,A_6,Auto-Bus-Bike,Road,-226.65,50,0.1,,,,,
26,True,302827.736238528,fixed,A_6,Walk,Sidewalk,,,,,,,1.35,
27,True,0.0,bottleneck,A_6,Bus,Road,,50,,0.4,,,17.0,
28,True,0.0,fixed,A_6,Bike,Road,,,,,0.15,,5.0,
29,True,25429.381188635085,fixed,A_6,Rail,Rail,,,,,,,20.0,
30,False,3614127.636992936,modified-quadratic,B_1,Auto-Bus-Bike,Road,-80.4,50,0.13,,0.5,,11.6,
31,True,722825.5273985872,fixed,B_1,Walk,Sidewalk,,,,,,,1.35,
32,True,0.0,bottleneck,B_1,Bus,Road,,50,,0.4,,,17.0,
33,True,0.0,fixed,B_1,Bike,Road,,,,,0.15,,5.0,
34,True,1022314.3872373349,fixed,B_1,Rail,Rail,,,,,,,20.0,
35,False,12939891.624970766,modified-quadratic,B_2,Auto-Bus-Bike,Road,-148.79,50,0.1,,0.5,,,
36,True,2587978.3249941533,fixed,B_2,Walk,Sidewalk,,,,,,,1.35,
37,True,0.0,bottleneck,B_2,Bus,Road,,50,,0.4,,,17.0,
38,True,0.0,fixed,B_2,Bike,Road,,,,,0.15,,5.0,
39,True,3122343.424577225,fixed,B_2,Rail,Rail,,,,,,,20.0,
40,False,10402717.797840817,rural,B_3,Auto-Bus-Bike,Road,-302.29,50,0.07,,0.5,,,
41,True,2080543.5595681635,fixed,B_3,Walk,Sidewalk,,,,,,,1.35,
42,True,0.0,bottleneck,B_3,Bus,Road,,50,,0.4,,,17.0,
43,True,0.0,fixed,B_3,Bike,Road,,,,,0.15,,5.0,
44,True,1157195.940133032,fixed,B_3,Rail,Rail,,,,,,,20.0,
45,False,1242163.5115622997,rural,B_4,Auto-Bus-Bike,Road,-195.76,50,0.09,,0.5,,,
46,True,248432.70231245994,fixed,B_4,Walk,Sidewalk,,,,,,,1.35,
47,True,0.0,bottleneck,B_4,Bus,Road,,50,,0.4,,,17.0,
48,True,0.0,fixed,B_4,Bike,Road,,,,,0.15,,5.0,
49,True,154764.66375761887,fixed,B_4,Rail,Rail,,,,,,,20.0,
50,False,22058147.045023337,rural,B_5,Auto-Bus-Bike,Road,-147.41,50,0.11,,0.5,,,
51,True,4411629.409004668,fixed,B_5,Walk,Sidewalk,,,,,,,1.35,
52,True,0.0,bottleneck,B_5,Bus,Road,,50,,0.4,,,17.0,
53,True,0.0,fixed,B_5,Bike,Road,,,,,0.15,,5.0,
54,True,1559028.272904587,fixed,B_5,Rail,Rail,,,,,,,20.0,
