OriginMicrotypeID,DestMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,D_1,E_1,F_1,A_2,B_2,C_2,D_2,E_2,F_2,A_3,B_3,C_3,D_3,E_3,F_3,A_4,B_4,C_4,D_4,E_4,F_4,A_5,B_5,C_5,D_5,E_5,F_5,A_6,B_6,C_6,D_6,E_6,F_6
A_1,A_1,long,A_1,0.15209076028264,0,0,0,0,0,0.37487870883596,0,0,0,0,0,0.431506245993491,0,0,0,0,0,0.0186409509399467,0,0,0,0,0,0.00911078706296072,0,0,0,0,0,0.0128143410895028,0,0,0,0,0
A_1,A_1,long,A_2,0.570732060698293,0,0,0,0,0,0.0540641168773744,0,0,0,0,0,0.327117237353237,0,0,0,0,0,0.011079290771475,0,0,0,0,0,0.00226106948541577,0,0,0,0,0,0.0347462248142046,0,0,0,0,0
A_1,A_1,long,A_3,0.621492446656658,0,0,0,0,0,0.260679246818999,0,0,0,0,0,0.063452829587863,0,0,0,0,0,0.0198640806811944,0,0,0,0,0,0.00853584140784635,0,0,0,0,0,0.0259755548474397,0,0,0,0,0
A_1,A_1,long,A_4,0.702889530373013,0,0,0,0,0,0.128184029349094,0,0,0,0,0,0.168926440277893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_5,0.304729638199949,0,0,0,0,0,0.241653540384001,0,0,0,0,0,0.45361682141605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_6,0.00554840638345358,0,0,0,0,0,0.456337535508619,0,0,0,0,0,0.538114058107928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_1,0.108655717881279,0,0,0,0,0,0.374025889499563,0,0,0,0,0,0.499933861635174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132586040638422,0,0,0,0,0
A_1,A_1,medium,A_2,0.691419615906532,0,0,0,0,0,0.0169754221779182,0,0,0,0,0,0.237321912915591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542830489999589,0,0,0,0,0
A_1,A_1,medium,A_3,0.769836492359722,0,0,0,0,0,0.230163507640278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_6,0.588784724814699,0,0,0,0,0,0.411215275185301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_1,0.00608504745709725,0,0,0,0,0,0.318872991811008,0,0,0,0,0,0.592478016016633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,A_1,0.177794618098209,0,0,0,0,0,0.389920176442806,0,0,0,0,0,0.326382786941287,0,0,0,0,0,0.0252058443612948,0,0,0,0,0,0.0700663509152015,0,0,0,0,0,0.0102111416259383,0,0,0,0,0
A_1,A_1,xlong,A_2,0.372991098331839,0,0,0,0,0,0.178599130705226,0,0,0,0,0,0.312135716233843,0,0,0,0,0,0.0661718698952769,0,0,0,0,0,0.0591492377879825,0,0,0,0,0,0.0109529470458325,0,0,0,0,0
A_1,A_1,xlong,A_3,0.489350462084388,0,0,0,0,0,0.210709521592929,0,0,0,0,0,0.170525002573116,0,0,0,0,0,0.056202360830881,0,0,0,0,0,0.0416337366744577,0,0,0,0,0,0.0315789162442284,0,0,0,0,0
A_1,A_1,xlong,A_4,0.283589620306941,0,0,0,0,0,0.165967503588124,0,0,0,0,0,0.236641697362891,0,0,0,0,0,0.0922892259416095,0,0,0,0,0,0.221511952800435,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,A_5,0.19401371106737,0,0,0,0,0,0.415142825241164,0,0,0,0,0,0.164226812705313,0,0,0,0,0,0.166566379091234,0,0,0,0,0,0.0107192731745585,0,0,0,0,0,0.0493309987203595,0,0,0,0,0
A_1,A_1,xlong,A_6,0.283823202318864,0,0,0,0,0,0.523577246064909,0,0,0,0,0,0.192599551616227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_1,0.080311099298823,0,0,0,0,0,0.585677671718391,0,0,0,0,0,0.277156652284811,0,0,0,0,0,0.0192674370473977,0,0,0,0,0,0.0375871396505768,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_2,0.246681037994514,0,0,0,0,0,0.157575948004771,0,0,0,0,0,0.445695073162579,0,0,0,0,0,0.0255177515954451,0,0,0,0,0,0.0995757789922079,0,0,0,0,0,0.0225056147604394,0,0,0,0,0
A_1,A_2,long,A_3,0.228987994775077,0,0,0,0,0,0.643804452190474,0,0,0,0,0,0.0649138038745356,0,0,0,0,0,0.00661148396438243,0,0,0,0,0,0.0483935877922854,0,0,0,0,0,0.00728867740324527,0,0,0,0,0
A_1,A_2,long,A_4,0,0,0,0,0,0,0.744896926492756,0,0,0,0,0,0.12190973959029,0,0,0,0,0,0.0847330312426498,0,0,0,0,0,0.0484603026743041,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_5,0.02102893063239,0,0,0,0,0,0.635688298682375,0,0,0,0,0,0.343282770685235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_6,0.405174074964079,0,0,0,0,0,0.384932731144861,0,0,0,0,0,0.20989319389106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_1,0.0273424992277258,0,0,0,0,0,0.797427732441061,0,0,0,0,0,0.141048120392524,0,0,0,0,0,0.00436778564732583,0,0,0,0,0,0.0298138622913637,0,0,0,0,0,0,0,0,0,0,0
