MicrotypeID,SpeedInMetersPerSecond
A_5,
A_2,
A_3,
A_1,
A_4,
A_6,
B_6,
B_3,
B_5,
B_1,
B_2,
B_4,
C_5,
C_3,
C_4,
C_6,
C_2,
C_1,
D_6,
D_5,
D_3,
D_2,
D_4,
D_1,
E_6,
E_5,
E_4,
E_3,
E_2,
E_1,
F_2,
F_5,
F_6,
F_4,
F_3,
F_1,
