MicrotypeID
A_1
A_2
A_3
A_4
A_5
A_6
B_1
B_2
B_3
B_4
B_5
B_6
C_1
C_2
C_3
C_4
C_5
C_6
D_1
D_2
D_3
D_4
D_5
D_6
E_1
E_2
E_3
E_4
E_5
E_6
F_1
F_2
F_3
F_4
F_5
F_6
