OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,D_1,E_1,F_1,A_2,B_2,C_2,D_2,E_2,F_2,A_3,B_3,C_3,D_3,E_3,F_3,A_4,B_4,C_4,D_4,E_4,F_4,A_5,B_5,C_5,D_5,E_5,F_5,A_6,B_6,C_6,D_6,E_6,F_6
A_1,A_1,xlong,B_3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,B_4,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.5,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,B_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,B_6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_1,0.0727018737180884,0,0,0,0,0,0.58520389516964,0,0,0,0,0,0.275289158393635,0,0,0,0,0,0.0318416399435866,0,0,0,0,0,0.0298730790491965,0,0,0,0,0,0.00509035372585374,0,0,0,0,0
A_1,A_2,long,A_2,0.255976987839263,0,0,0,0,0,0.123067866158241,0,0,0,0,0,0.479195855927802,0,0,0,0,0,0.0768281970199173,0,0,0,0,0,0.0548046114795816,0,0,0,0,0,0.00825064917470927,0,0,0,0,0
A_1,A_2,long,A_3,0.245159028234474,0,0,0,0,0,0.637070290976419,0,0,0,0,0,0.042181801979932,0,0,0,0,0,0.0154210087675581,0,0,0,0,0,0.0395628944591828,0,0,0,0,0,0.0206049755824348,0,0,0,0,0
A_1,A_2,long,A_4,0.0458334015217989,0,0,0,0,0,0.810780438097439,0,0,0,0,0,0.0977779129288631,0,0,0,0,0,0.0201389731933829,0,0,0,0,0,0.0254692742585164,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_5,0.0308513197944691,0,0,0,0,0,0.769368637124483,0,0,0,0,0,0.196330012174521,0,0,0,0,0,0.00345003090652733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_6,0.186882633713166,0,0,0,0,0,0.571880122523975,0,0,0,0,0,0.241237243762859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_1,0.0258626123155647,0,0,0,0,0,0.83833754864105,0,0,0,0,0,0.10830048316454,0,0,0,0,0,0.00828219401704907,0,0,0,0,0,0.0185602521852166,0,0,0,0,0,0.00065690967657984,0,0,0,0,0
A_1,A_2,medium,A_2,0.247925324306156,0,0,0,0,0,0.0560386339248257,0,0,0,0,0,0.643094576127024,0,0,0,0,0,0.00233940194988629,0,0,0,0,0,0.0264434613959126,0,0,0,0,0,0.00964095811951598,0,0,0,0,0
A_1,A_2,medium,A_3,0.256577827707011,0,0,0,0,0,0.720802286383142,0,0,0,0,0,0.00556657541287579,0,0,0,0,0,0.0170533104969712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_4,0.196824055191381,0,0,0,0,0,0.451307662959951,0,0,0,0,0,0.351868281848668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_5,0.00700586396381588,0,0,0,0,0,0.848517714303486,0,0,0,0,0,0.144476421732698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_6,0.37077447430122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62922552569878,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_1,0,0,0,0,0,0,0.986431200089119,0,0,0,0,0,0.00737214045999389,0,0,0,0,0,0.00597735752022153,0,0,0,0,0,0.00021930193066602,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
