MicrotypeID,avg_thru_length
E_5,3.9224887823753
E_2,1.62053960021102
E_4,2.20885973950013
C_4,2.40263976961126
C_3,4.68380878188695
C_5,4.24736033064228
E_3,3.60919149975199
E_6,11.5127899856435
C_6,10.667711984838
A_5,2.7166728669251
A_4,1.95949413950287
A_3,3.04676933952712
B_1,0.938205808207518
B_2,1.44061875401254
B_3,3.59741638813774
B_4,2.41748215599638
B_5,3.07229993332543
F_5,4.22444569956741
F_3,4.36239985580748
F_2,1.49152666556567
A_2,1.29611727922697
A_1,0.877364822168862
A_6,4.37245303689019
C_2,1.60510982120377
C_1,0.68077583507389
F_1,0.776679360857156
F_4,1.74043048822463
F_6,11.7257726463551
D_6,11.7658470013651
D_3,4.03245951719573
D_5,4.03773346126424
B_6,8.42529939532505
D_2,1.90905517099125
D_4,2.65167624353024
D_1,0.885063824230817
E_1,1.0747366957608
