MicrotypeID,Mode,VMTPerHour
1,freight_combo,38948
1,freight_single,61550
2,freight_combo,33682
2,freight_single,61586
3,freight_combo,262290
3,freight_single,280255
4,freight_combo,9257
4,freight_single,13370
5,freight_combo,38450
5,freight_single,43373
6,freight_combo,4731
6,freight_single,4785
