OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,1,2,3,4,5,6
1,1,long,1,0.0072721682051538,0.367930360705371,0.599990474400758,0.0166013447798906,0.0019284198899413,0.0057878919679185
1,4,xlong,3,0.376962175884882,0.372094106312183,0.0442216011945412,0.103312806304454,0.10340931030394,0.0
1,4,xlong,2,0.212042150273749,0.0102508200032876,0.569329606966996,0.17049886085132,0.0378785619046473,0.0
1,4,xlong,1,0.0,0.201786479790027,0.693641143278007,0.104572376931966,0.0,0.0
1,4,short,4,0.0,0.0,0.0,0.0,0.0,0.0
1,4,short,3,0.0,0.0,0.0,1.0,0.0,0.0
1,4,short,2,0.0,0.0,0.0,1.0,0.0,0.0
1,4,short,1,0.0,0.384653480559547,0.0943636160406392,0.520982903399814,0.0,0.0
1,4,medium,5,1.0,0.0,0.0,0.0,0.0,0.0
1,4,medium,4,0.0,0.0,0.0,0.0,0.0,0.0
1,4,medium,3,0.366125106306309,0.0,0.0,0.633874893693691,0.0,0.0
1,4,medium,2,0.263858851557063,0.0,0.0630816543665103,0.673059494076427,0.0,0.0
1,4,medium,1,0.0,0.609774687327167,0.144774944101697,0.230100797535792,0.015349571035344,0.0
1,4,long,6,0.0,1.0,0.0,0.0,0.0,0.0
1,4,long,5,0.533435396850585,0.0652247347698087,0.0,0.401339868379607,0.0,0.0
1,4,long,4,0.930642619258247,0.0,0.0,0.0,0.0,0.0
1,4,long,3,0.175275953768831,0.698776871947084,0.0,0.125947174284085,0.0,0.0
1,4,long,2,0.298218836412682,0.0,0.148137943585015,0.410791330132158,0.142851889870145,0.0
1,4,long,1,0.0,0.481835636418661,0.311594187511918,0.116144438191337,0.0498073080906134,0.0406184297874706
1,3,xlong,6,0.204680743446394,0.154697336577352,0.636184842187023,0.0,0.0044370777892314,0.0
1,3,xlong,5,0.0513980818772416,0.124858845896138,0.740921863331292,0.0810877963085963,0.0,0.0006773254823389
1,3,xlong,4,0.122013669800863,0.114729534255686,0.662730448199655,0.0,0.100526347743796,0.0
1,3,xlong,3,0.452561608075776,0.370525626567318,0.0374502764493057,0.0529816499569881,0.0820202290055174,0.0042863878656857
1,3,xlong,2,0.159403656262231,0.0122190229318093,0.779226073829837,0.0250895047801898,0.022015489473381,0.0020462527225516
1,3,xlong,1,0.0005313454918977,0.197256164552699,0.782276733071882,0.0047091146824621,0.0019884831385095,0.0132381590625496
1,3,short,5,0.0,0.0,1.0,0.0,0.0,0.0
1,4,xlong,4,0.262145852166172,0.156618714041533,0.516779546475662,0.0,0.0632699612045684,0.0
1,5,long,1,0.0,0.450799671359787,0.367172022191904,0.0,0.182028306448308,0.0
1,5,long,2,0.141121402382702,0.0359529193412311,0.208612183211336,0.0345972211175005,0.57971627394723,0.0
1,5,long,3,0.271916294416552,0.453277997464164,0.0,0.040577739670042,0.234227968449242,0.0
1,6,xlong,6,0.0,0.0,0.0,0.0,0.0,0.0
1,6,xlong,3,0.589057068175129,0.145619978128217,0.0,0.0,0.0,0.265322953696655
1,6,xlong,2,0.995768500227922,0.0,0.0042314997720778,0.0,0.0,0.0
1,6,xlong,1,0.0,0.172551598528206,0.687995151892858,0.0,0.0,0.139453249578936
1,6,medium,6,0.0,0.0,0.0,0.0,0.0,0.0
1,6,medium,1,0.0,0.0,0.0,0.0,0.0,1.0
1,6,long,6,0.0,0.0,0.0,0.0,0.0,0.0
1,6,long,5,0.0,0.0,0.0,0.0,0.0,1.0
1,6,long,3,0.50118410277488,0.49881589722512,0.0,0.0,0.0,0.0
1,6,long,2,1.0,0.0,0.0,0.0,0.0,0.0
1,6,long,1,0.0,0.0,0.418605817630902,0.0,0.162788364738195,0.418605817630902
1,5,xlong,6,0.15984008132609,0.270244760396531,0.528600256293259,0.0,0.0413149019841196,0.0
1,3,short,4,0.0,0.0,1.0,0.0,0.0,0.0
1,5,xlong,5,0.031108791509496,0.338234137242108,0.557459867630418,0.0689357497435469,0.0023485085314957,0.0011831149227094
1,5,xlong,3,0.311397553900348,0.360631792397111,0.038811676837364,0.0418332838747807,0.246436750271331,0.0008889427190652
1,5,xlong,2,0.160431912241342,0.0057301351384624,0.574557271074558,0.0453435159326963,0.210710861424123,0.0032263041888172
1,5,xlong,1,0.0,0.314394490226202,0.642926683519158,0.0115062518264589,0.0252577354899226,0.005914838938258
1,5,short,5,0.0,0.0,0.0,0.0,0.0,0.0
1,5,short,2,0.0,0.0,0.0,0.0,1.0,0.0
1,5,short,1,0.0,0.0425964245503727,0.0,0.0,0.957403575449627,0.0
1,5,medium,5,0.0,0.0,0.0,0.0,0.0,0.0
1,5,medium,3,0.0797456719741927,0.278959036384431,0.0,0.0,0.641295291641376,0.0
1,5,medium,2,0.0672723077157975,0.0,0.011540857671279,0.0,0.921186834612923,0.0
1,5,medium,1,0.0,0.629873463827059,0.121570112726608,0.0,0.248556423446333,0.0
1,5,long,5,0.0953888329020076,0.461012780770214,0.438975696752618,0.0,0.0,0.0
1,5,long,4,0.0,0.0678061723155139,0.327866345681107,0.0,0.60432748200338,0.0
1,5,xlong,4,0.0907925468548436,0.104767521992233,0.465403657598926,0.0,0.339036273553997,0.0
1,3,short,3,0.0,0.961406677859593,0.0,0.0,0.0,0.0
1,4,xlong,5,0.0,0.232157706710179,0.566186009764552,0.201656283525268,0.0,0.0
1,3,short,1,0.0,0.0658882430495152,0.925795205606895,0.0039096671021509,0.0044068842414386,0.0
1,2,long,4,0.0428370533300677,0.94255943128059,0.0146035153893421,0.0,0.0,0.0
1,2,long,3,0.429543019482038,0.542827279876542,0.0035141469270553,0.008553085889151,0.0100856966360656,0.0054767711891475
1,2,long,2,0.517357750354323,0.02248318052412,0.35974052828229,0.043048132696141,0.0446020936700156,0.0116819368832892
1,2,long,1,0.0028647397519655,0.601517443582172,0.358743237467593,0.0146191408009029,0.0179677644735922,0.0042876739237742
1,1,xlong,6,0.353627581006226,0.249513625874653,0.39685879311912,0.0,0.0,0.0
1,1,xlong,5,0.0529811494736304,0.196743159025555,0.693549673142161,0.053377793248418,0.0,0.0
1,1,xlong,4,0.256853699542249,0.196988914507378,0.488793196082244,0.0,0.0573641898681279,0.0
1,1,xlong,3,0.723701031258461,0.184630896393817,0.0358346299419381,0.0223810487542011,0.0240276352848359,0.0094247583667464
1,1,xlong,2,0.42122197863135,0.0037178293838484,0.539345397314431,0.0134329125388202,0.0099331275097827,0.0123487546217679
1,1,xlong,1,0.0052998990964351,0.184304954552159,0.79001279291945,0.010334520111597,0.0010660564803724,0.0088054353866835
1,1,short,5,1.0,0.0,0.0,0.0,0.0,0.0
1,1,short,4,1.0,0.0,0.0,0.0,0.0,0.0
1,2,long,5,0.0329210640099959,0.750603468213572,0.216475467776432,0.0,0.0,0.0
1,1,short,3,0.977197908502473,0.0228020914975276,0.0,0.0,0.0,0.0
1,1,short,1,0.0011681142493482,0.49013376321374,0.444569205492176,0.0129269820487778,0.0339653270293769,0.0
1,1,medium,6,0.617827591309339,0.382172408690661,0.0,0.0,0.0,0.0
