MicrotypeID,Mode,VMTPerHour
1,freight_combo,6454
1,freight_single,8585
2,freight_combo,15158
2,freight_single,27876
3,freight_combo,112658
3,freight_single,69006
4,freight_combo,3736
4,freight_single,3868
5,freight_combo,46811
5,freight_single,37247
6,freight_combo,120167
6,freight_single,53241
