OriginMicrotypeID,DestinationMicrotypeID,TransitLayer,Portion
1,1,bus_norail_nobike,0.916741000111159
1,6,bus_rail_nobike,0.222540779178947
1,2,bus_rail_nobike,0.154994693018822
1,3,nobus_norail_nobike,0.0286408542319088
1,1,bus_rail_nobike,0.0658255792055978
1,3,bus_rail_nobike,0.175043020821311
1,5,nobus_norail_nobike,0.217609450455404
1,2,nobus_norail_nobike,0.0572299177171068
1,3,bus_norail_nobike,0.796258440673185
1,6,nobus_norail_nobike,0.273815292930257
1,4,nobus_norail_nobike,0.146642018595463
1,1,nobus_norail_nobike,0.0166196961551271
1,3,nobus_rail_nobike,5.76842735945321e-05
1,5,nobus_rail_nobike,0.0332551749746209
1,1,nobus_rail_nobike,0.0008137245281162
1,5,bus_rail_nobike,0.132712949259322
1,6,nobus_rail_nobike,0.0700535617305248
1,2,nobus_rail_nobike,0.001434890613924
1,5,bus_norail_nobike,0.616422425310653
1,2,bus_norail_nobike,0.786340498650147
1,6,bus_norail_nobike,0.433590366160272
1,4,bus_rail_nobike,0.246300302668595
1,4,bus_norail_nobike,0.607057678735942
2,5,bus_norail_nobike,0.707576489245439
2,5,nobus_rail_nobike,0.029560132225555
2,6,bus_rail_nobike,0.182288870586705
2,5,bus_rail_nobike,0.105153849570251
2,3,bus_norail_nobike,0.866690916905947
2,6,nobus_norail_nobike,0.22114657950566
2,5,nobus_norail_nobike,0.157709528958756
2,1,bus_norail_nobike,0.812051143440979
2,3,nobus_rail_nobike,0.0002011017280299
2,2,bus_rail_nobike,0.0885633692124084
2,2,nobus_norail_nobike,0.0479978787855593
2,4,nobus_norail_nobike,0.200524745492874
2,3,bus_rail_nobike,0.0764416003282089
2,1,nobus_rail_nobike,0.0011272607953415
2,3,nobus_norail_nobike,0.0566663810378139
2,4,nobus_rail_nobike,0.0051715958299637
2,6,bus_norail_nobike,0.556804289046483
2,4,bus_norail_nobike,0.737048941581095
2,4,bus_rail_nobike,0.0572547170960675
2,6,nobus_rail_nobike,0.0397602608611516
2,1,bus_rail_nobike,0.114692504367753
2,1,nobus_norail_nobike,0.0721290913959271
2,2,nobus_rail_nobike,0.0069495161654698
2,2,bus_norail_nobike,0.856489235836563
3,6,bus_norail_nobike,0.51979315297792
3,6,bus_rail_nobike,0.31919806876512
3,6,nobus_rail_nobike,0.0258811785476994
3,5,nobus_rail_nobike,0.017160413220531
3,1,bus_norail_nobike,0.8035519023519
3,2,nobus_rail_nobike,0.0011496166705462
3,4,nobus_rail_nobike,0.0060074160648653
3,3,nobus_rail_nobike,0.0055645831362263
3,4,bus_norail_nobike,0.822881610044847
3,4,nobus_norail_nobike,0.169512559270198
3,4,bus_rail_nobike,0.0015984146200899
3,1,bus_rail_nobike,0.171714528619053
3,5,nobus_norail_nobike,0.228418563356225
3,3,nobus_norail_nobike,0.0232617433917123
3,1,nobus_norail_nobike,0.0247335690290461
3,2,bus_norail_nobike,0.873215689438549
3,3,bus_norail_nobike,0.863877181520917
3,3,bus_rail_nobike,0.107296491951144
3,2,nobus_norail_nobike,0.0620918907753468
3,2,bus_rail_nobike,0.0635428031155584
3,6,nobus_norail_nobike,0.13512759970926
3,5,bus_rail_nobike,0.120412208666339
3,5,bus_norail_nobike,0.634008814756905
4,4,nobus_norail_nobike,0.0282341849942347
4,1,bus_rail_nobike,0.368051983248915
4,6,nobus_norail_nobike,0.572890600177006
4,4,bus_rail_nobike,0.0625781328280209
4,1,nobus_norail_nobike,0.0884005788897371
4,2,bus_norail_nobike,0.734056295829773
4,2,bus_rail_nobike,0.0747701214911456
4,6,nobus_rail_nobike,0.333828039224359
4,5,bus_norail_nobike,0.740721861075625
4,1,bus_norail_nobike,0.543547437861348
4,4,bus_norail_nobike,0.909187682177745
4,3,bus_norail_nobike,0.908886648617655
4,3,bus_rail_nobike,0.0034223553580986
4,6,bus_norail_nobike,0.093281360598635
4,2,nobus_rail_nobike,0.0069034217028225
4,3,nobus_norail_nobike,0.0814448445689047
4,5,bus_rail_nobike,0.0977783909316662
4,3,nobus_rail_nobike,0.0062461514553419
4,2,nobus_norail_nobike,0.184270160976259
4,5,nobus_norail_nobike,0.161499747992709
5,1,nobus_norail_nobike,0.185177563585027
5,3,nobus_norail_nobike,0.30311687054287
5,6,nobus_norail_nobike,0.317684487218377
5,5,nobus_norail_nobike,0.251436681432803
5,1,bus_rail_nobike,0.154248820371129
5,2,nobus_norail_nobike,0.198872403236728
5,5,bus_rail_nobike,0.131912941245772
5,4,nobus_norail_nobike,0.109046442381106
5,6,bus_norail_nobike,0.260813048076231
5,2,bus_norail_nobike,0.676278678392676
5,5,bus_norail_nobike,0.562752741242119
5,1,bus_norail_nobike,0.646769732859283
5,3,bus_rail_nobike,0.123289875031928
5,4,bus_norail_nobike,0.878913725362681
5,1,nobus_rail_nobike,0.0138038831845611
5,3,bus_norail_nobike,0.556032303200689
5,2,bus_rail_nobike,0.102804662594631
5,5,nobus_rail_nobike,0.0538976360793058
5,4,bus_rail_nobike,0.0120398322562129
5,6,bus_rail_nobike,0.261943472497832
5,2,nobus_rail_nobike,0.0220442557759649
5,6,nobus_rail_nobike,0.159558992207559
5,3,nobus_rail_nobike,0.0175609512245138
6,2,nobus_norail_nobike,0.242640101195984
6,3,bus_rail_nobike,0.254940093909913
6,4,bus_rail_nobike,0.0488627283791329
6,4,nobus_norail_nobike,0.371890701403949
6,5,bus_rail_nobike,0.221874587930379
6,2,nobus_rail_nobike,0.0429511179817585
6,4,bus_norail_nobike,0.121358364697502
6,1,bus_norail_nobike,0.520983401855142
6,5,bus_norail_nobike,0.169594782968014
6,3,nobus_norail_nobike,0.170778922800167
6,2,bus_rail_nobike,0.233411053212922
6,3,bus_norail_nobike,0.381844903087578
6,6,bus_norail_nobike,0.0838436351524127
6,1,nobus_norail_nobike,0.151252732605434
6,1,nobus_rail_nobike,0.0752456848633427
6,5,nobus_rail_nobike,0.0880326180913362
6,6,nobus_rail_nobike,0.139803699223173
6,3,nobus_rail_nobike,0.192436080202343
6,4,nobus_rail_nobike,0.457888205519416
6,5,nobus_norail_nobike,0.520498011010271
6,6,nobus_norail_nobike,0.164920912376823
6,1,bus_rail_nobike,0.252518180676082
6,2,bus_norail_nobike,0.480997727609335
6,6,bus_rail_nobike,0.611431753247591
