MicrotypeID,Mode,CostPerMeter
1,bus,0.07270918
1,bike,0.014541836
2,bus,0.06092756
2,bike,0.012185511999999999
3,bus,0.06651152
3,bike,0.013302304
4,bus,0.05952048
4,bike,0.011904096000000001
5,bus,0.04974128
5,bike,0.009948255999999999
7,bus,0.03263512
7,bike,0.006527024
