OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,A_2,B_2,C_2,A_3,B_3,C_3,A_4,B_4,C_4,A_5,B_5,C_5,A_6,B_6,C_6
A_1,B_6,xlong,B_2,0.0,0.101792971224468,0.0,0.0,0.0,0.0,0.0,0.132021456134188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766185572641344,0.0
A_1,B_6,xlong,B_3,0.0,0.0,0.0,0.0,0.187589368529982,0.0,0.0,0.29889801668286,0.0,0.0,0.0,0.0,0.0,0.19994208813789,0.0,0.0,0.313570526649269,0.0
A_1,B_6,xlong,B_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A_1,B_6,xlong,B_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795779370023673,0.0,0.0,0.0,0.0,0.0,0.0873719527855707,0.0,0.0,0.116848677190757,0.0
A_1,B_6,xlong,B_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835881496858878,0.0,0.0,0.0,0.0,0.0,0.154144821953429,0.0,0.0,0.0,0.0
A_1,B_5,xlong,B_5,0.0,0.0,0.0,0.0,0.0546902843653647,0.0,0.0,0.871417362644122,0.0,0.0,0.0,0.0,0.0,0.0570428699796395,0.0,0.0,0.0,0.0
A_1,B_4,xlong,A_6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_4,xlong,A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.250022413164241,0.352367395802793,0.0,0.0,0.0036258922589284,0.0,0.156196493656224,0.237787805117813,0.0,0.0,0.0,0.0
A_1,B_4,xlong,A_4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_2,xlong,B_1,0.0,0.0,0.0,0.0,0.205257632933938,0.0,0.0,0.467787948107698,0.0,0.0,0.0,0.0,0.0,0.326954418958364,0.0,0.0,0.0,0.0
A_1,B_2,xlong,B_2,0.0,0.30624818283893,0.0,0.0,0.0,0.0,0.0,0.552139608426067,0.0,0.0,0.129548261217782,0.0,0.0,0.0080096798307395,0.0,0.0,0.0,0.0
