MicrotypeID,DiameterInMiles
A_1,1.31997319113447
A_2,1.19374568463017
A_3,3.5593752943583
A_4,1.13741793582592
A_5,2.51742681457405
A_6,2.6179994106352
B_1,1.14462095664539
B_2,1.6028525753114
B_3,2.70649364584473
B_4,1.44571365808185
B_5,3.73831761521321
B_6,11.9507722048111
C_1,0.564534625449936
C_2,1.61842054073632
C_3,2.61901248772736
C_4,2.20751108337452
C_5,5.62460626469212
C_6,8.74380225001566
D_2,1.69232285374327
D_4,4.84009822277935
D_5,7.41996149132926
D_6,21.428622741989
E_2,2.55563976180053
E_3,6.18880082737295
E_5,5.36057482757978
E_6,16.8325665230583
F_1,0.620935501860842
F_2,1.60719956296344
F_3,4.00757561260534
F_4,0.828642491138361
F_5,3.92346525276508
F_6,11.5503569070676
