OriginMicrotypeID,DestinationMicrotypeID,TransitLayer,Portion
A_1,A_3,bus_rail_nobike,0.0295836513530353
A_1,A_1,nobus_norail_bike,0.0003940574045861
A_1,A_5,bus_rail_bike,0.0032042957137123
A_1,A_5,nobus_norail_nobike,0.184473308610776
A_1,B_2,bus_norail_nobike,0.925792607087794
A_1,A_3,bus_rail_bike,0.0059116091576029
A_1,B_5,bus_rail_nobike,0.0174013676891813
A_1,A_4,bus_norail_nobike,0.80977499927421
A_1,B_3,bus_norail_nobike,1.0
A_1,B_1,bus_norail_nobike,1.0
A_1,A_3,nobus_rail_bike,0.0004241502192909
A_1,B_5,bus_norail_nobike,0.968665813868374
A_1,A_1,bus_rail_nobike,0.010994579255082
A_1,A_4,bus_norail_bike,0.0773951058758766
A_1,A_1,nobus_norail_nobike,0.0403072968423884
A_1,B_2,nobus_norail_nobike,0.0668402091178286
A_1,A_6,nobus_norail_bike,0.676696195438979
A_1,A_4,bus_rail_nobike,0.0225522691446341
A_1,A_5,bus_rail_nobike,0.0204474351743124
A_1,A_2,bus_rail_nobike,0.0212256027115771
A_1,B_6,bus_norail_nobike,0.337359679519291
A_1,B_4,nobus_norail_nobike,0.0261189383430609
A_1,A_3,nobus_rail_nobike,0.0006284792275832
A_1,A_4,bus_rail_bike,0.0175184809849704
A_1,A_1,nobus_rail_nobike,0.0035548908966494
A_1,A_3,nobus_norail_bike,0.0150482241211053
A_1,B_4,bus_rail_nobike,0.0028783883648339
A_1,A_2,nobus_norail_bike,0.004280802229069
A_1,A_4,nobus_norail_nobike,0.0682760283969121
A_1,A_1,bus_rail_bike,0.0024525548467538
A_1,A_2,bus_norail_nobike,0.734674724094268
A_1,B_5,nobus_norail_nobike,0.0139328184424448
A_1,B_4,bus_norail_nobike,0.971002673292105
A_1,A_2,nobus_norail_nobike,0.088896638311253
A_1,A_2,bus_rail_bike,0.0011269387062438
A_1,B_6,nobus_norail_nobike,0.662640320480709
A_1,A_2,nobus_rail_nobike,0.0011156990249162
A_1,A_5,nobus_norail_bike,0.013035611564339
A_1,B_3,nobus_rail_nobike,0.0
A_1,B_2,bus_rail_nobike,0.0073671837943767
A_1,A_6,bus_rail_nobike,0.0123643198743475
A_1,A_5,nobus_rail_nobike,0.0001247211081287
A_1,A_6,nobus_norail_nobike,0.310939484686673
A_1,A_4,nobus_rail_nobike,0.0044831163233965
A_1,A_5,bus_norail_bike,0.0648957644791252
A_1,A_3,nobus_norail_nobike,0.0751975936843543
A_1,A_3,bus_norail_bike,0.117948182304522
A_1,A_1,bus_norail_nobike,0.641261601615045
A_1,A_1,bus_norail_bike,0.301035019139495
A_1,A_3,bus_norail_nobike,0.755258109932506
A_1,A_2,bus_norail_bike,0.148679594922672
A_1,A_5,bus_norail_nobike,0.713818863349607
A_2,B_3,nobus_norail_nobike,0.036761829285722
A_2,B_5,bus_rail_nobike,0.0710332025082914
A_2,A_1,nobus_rail_nobike,0.0009335591938882
A_2,B_2,bus_rail_nobike,0.0075533865411007
A_2,A_1,bus_rail_bike,0.0003566397076045
A_2,A_6,nobus_norail_bike,0.160867180664455
A_2,A_4,nobus_rail_nobike,0.0001782717956168
A_2,A_4,bus_rail_nobike,0.0572072740956869
A_2,B_6,bus_norail_nobike,0.445268485331893
A_2,B_1,bus_rail_nobike,0.756768095150831
A_2,A_2,nobus_norail_bike,0.0015774892924746
A_2,B_5,bus_norail_nobike,0.847576789878418
A_2,B_3,bus_rail_nobike,0.0822288362748247
A_2,A_1,bus_rail_nobike,0.0136063839950373
A_2,A_1,nobus_norail_bike,0.0054002043181411
A_2,B_2,nobus_norail_nobike,0.0388901549173069
A_2,A_3,nobus_norail_nobike,0.0719045255320427
A_2,A_5,nobus_norail_nobike,0.11927675132608
A_2,B_4,nobus_norail_nobike,0.243410141431125
A_2,A_3,nobus_norail_bike,0.0011976395763159
A_2,B_1,bus_norail_nobike,0.23700248648011
A_2,A_2,bus_rail_nobike,0.0236398569375388
A_2,A_5,bus_norail_nobike,0.825537605618855
A_2,A_5,nobus_norail_bike,0.000102496895542
A_2,A_1,nobus_norail_nobike,0.075984629019243
A_2,A_4,bus_norail_nobike,0.790902194590975
A_2,A_6,bus_rail_nobike,0.0716277188705732
A_2,B_4,bus_rail_nobike,0.276415705105019
A_2,A_2,nobus_rail_nobike,1.28795713855026e-05
A_2,A_5,bus_rail_nobike,0.0239212446518538
