MicrotypeID,CapCostPerBike,DailyOpCostPerBike,CapCostPerDock,DailyOpCostPerDock,DocksPerBike,DocksPerStation,PerStartCost,PerMinuteCost,SpeedInMetersPerSecond,VehicleSize,DedicatedLanePreference,PerMileCost,VehicleOperatingCostPerHour,PerEndCost
1,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
2,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
3,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
4,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
5,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
6,9000,9.31506849315068,4500,4.65753424657534,2,15,2.5,0.05,4.2,0.2,0.7,5.63269,0.0,0.0
