MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond,VehicleOperatingCostPerHour
1,0,0.5128629889999999,0.10060842,0.2,1.4,0.0
2,0,0.33520809999999995,0.10695525,0.2,1.4,0.0
3,0,0.449233723,0.10639796,0.2,1.4,0.0
4,0,0.29858069,0.10396663,0.2,1.4,0.0
5,0,0.03749547,0.10610224,0.2,1.4,0.0
6,0,0.0,0.10603483,0.2,1.4,0.0
