MicrotypeID,Mode,VMTPerHour
1,freight_combo,29493
1,freight_single,46112
2,freight_combo,20388
2,freight_single,36440
3,freight_combo,136531
3,freight_single,149828
4,freight_combo,6659
4,freight_single,9892
5,freight_combo,15814
5,freight_single,18014
6,freight_combo,3881
6,freight_single,4034
