OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,1,2,3,4,5,6
1,1,long,1,0.146791733,0.336920624,0.460805566,0.026295156,0.009986676,0.018454914
1,4,xlong,3,0.127639309,0.253260339,0.094565105,0.380840698,0.131706625,0.011987923
1,4,xlong,2,0.220925251,0.282231856,0.158854288,0.151381299,0.186607306,0
1,4,xlong,1,0.185781452,0.448765015,0.193297268,0.151372092,0.020784174,0
1,4,short,4,0,0,0,0,0,0
1,4,short,3,0,0,0,1,0,0
1,4,short,2,0,0,0,1,0,0
1,4,short,1,0,0.114050166,0.210502502,0.675447332,0,0
1,4,medium,5,1,0,0,0,0,0
1,4,medium,4,0,0,0,0,0,0
1,4,medium,3,0,0,0,1,0,0
1,4,medium,2,0,0,0.138657506,0.861342494,0,0
1,4,medium,1,0,0.52695061,0.136273643,0.307619134,0.029156613,0
1,4,long,6,0,1,0,0,0,0
1,4,long,5,0.560026955,0.028280052,0,0.411692992,0,0
1,4,long,4,0,0,0,0,0,0
1,4,long,3,0,0.286235658,0,0.655107505,0.058656837,0
1,4,long,2,0.161891081,0.140346912,0.258352791,0.211403464,0.228005753,0
1,4,long,1,0,0.315448882,0.170206585,0.400764162,0.062561088,0.051019283
1,3,xlong,6,0.143713037,0.176017536,0.680269427,0,0,0
1,3,xlong,5,0.213954942,0.221897132,0.348642839,0.124401737,0.07973653,0.009109225
1,3,xlong,4,0.137146125,0.24197978,0.498806894,0.037527938,0.084539263,0
1,3,xlong,3,0.258923461,0.21372823,0.393654285,0.05302242,0.052059797,0.028253389
1,3,xlong,2,0.207503437,0.139384852,0.478332085,0.028277142,0.124169682,0.022332802
1,4,xlong,4,0,0.075953206,0.417200543,0.458556148,0.046098296,0
1,3,xlong,1,0.111892692,0.405611286,0.391777332,0.021159687,0.038291923,0.03126708
1,4,xlong,5,0.127400822,0.202188203,0.179879632,0.448642693,0.04188865,0
1,5,long,2,0.113050859,0.064726641,0.314584294,0.043883502,0.463754703,0
1,6,xlong,6,0,0.987245102,0,0,0,0
1,6,xlong,4,1,0,0,0,0,0
1,6,xlong,3,0.389116244,0.107340521,0.110885527,0.055442763,0,0.337214944
1,6,xlong,2,0,0,1,0,0,0
1,6,xlong,1,0.031931194,0.052508439,0.302795565,0,0,0.612764802
1,6,medium,6,0,0,0,0,0,0
1,6,medium,1,0,0,0,0,0,1
1,5,xlong,6,0.142322723,0.14860261,0.709074667,0,0,0
1,5,xlong,5,0.284005321,0.186470926,0.385269226,0.044167636,0.069424033,0
1,5,xlong,4,0.036984274,0.214107255,0.249260273,0.183576764,0.316071433,0
1,5,xlong,3,0.14576166,0.338337835,0.140066916,0.096495451,0.266388904,0.012949235
1,5,xlong,2,0.18275579,0.185696726,0.270972978,0.072511503,0.243350318,0.044712684
1,5,xlong,1,0.167276718,0.362558971,0.254485353,0.08459359,0.119398495,0.011686872
1,5,short,5,0,0,0,0,0,0
1,5,short,1,0,0,0,0,1,0
1,5,medium,5,0,0,0,0,0,0
1,5,medium,3,0,0.469260457,0,0,0.530739543,0
1,5,medium,2,0,0,0.03694613,0,0.96305387,0
1,5,medium,1,0,0.25155536,0.00849491,0,0.73994973,0
1,5,long,6,0,0,1,0,0,0
1,5,long,5,0.820570744,0.164251347,0,0,0,0
1,5,long,4,0,0.123543968,0,0,0.876456032,0
1,5,long,3,0.074842373,0.524313782,0.006211271,0.0212708,0.373361773,0
1,5,long,1,0.014694428,0.375501537,0.359950559,0.006836811,0.193585621,0.049431045
1,3,short,4,0,0,1,0,0,0
1,4,xlong,6,0,1,0,0,0,0
1,3,short,2,0,0,1,0,0,0
1,2,long,5,0.000535824,0.940064696,0.059399481,0,0,0
1,2,long,4,0,0.779964727,0.066001306,0,0.154033966,0
1,2,long,3,0.200104802,0.734270014,0.035415497,0.007994291,0.004195173,0.018020225
1,2,long,2,0.352245289,0.179577994,0.33781788,0.009396978,0.066722429,0.05206918
1,2,long,1,0.059362901,0.629628235,0.263976759,0.014290208,0.032741897,0
1,1,xlong,6,0.283823202,0.523577246,0.192599552,0,0,0
1,1,xlong,5,0.284457445,0.406772269,0.120365977,0.08486836,0.018481684,0.085054266
1,1,xlong,4,0.309949989,0.29303746,0.247681981,0.063402761,0.085927809,0
1,1,xlong,3,0.510527965,0.153928677,0.160292738,0.064397046,0.062870055,0.047983519
1,1,xlong,1,0.151208832,0.350438728,0.395165434,0.031250007,0.055862132,0.015805638
1,1,short,3,1,0,0,0,0,0
1,1,short,2,1,0,0,0,0,0
1,1,short,1,0,0.758296858,0.158657148,0,0,0
1,1,medium,6,0.588784725,0.411215275,0,0,0,0
1,1,medium,3,0.787005488,0.212994512,0,0,0,0
1,1,medium,2,0.729541134,0.030368356,0.142980292,0,0,0.097110218
1,1,medium,1,0.161784009,0.386938311,0.42325514,0,0,0.023523331
1,1,long,6,0.005548406,0.456337536,0.538114058,0,0,0
1,1,long,5,0.312618844,0.271521315,0.415859841,0,0,0
1,1,long,4,0.646100646,0.186531283,0.167368072,0,0,0
1,1,long,3,0.574085668,0.300687268,0.063965845,0.01285563,0.011972347,0.036433241
1,1,long,2,0.61403629,0.043870954,0.286493358,0.005946296,0,0.049653102
1,3,short,3,0,0,0,0,0,0
1,2,long,6,0.405174075,0.384932731,0.209893194,0,0,0
1,2,medium,1,0.028715254,0.817861641,0.138788948,0.004258792,0.010375365,0
1,1,xlong,2,0.447036928,0.102045408,0.337946718,0.014889183,0.077416768,0.020664995
1,2,medium,2,0.559675465,0.207156855,0.168447929,0,0,0.04911355
1,3,short,1,0,0.125260124,0.868069572,0.006670304,0,0
1,3,medium,4,0,0,1,0,0,0
1,3,medium,3,0,0.690621702,0.289990097,0,0,0
1,3,medium,2,0.039066005,0,0.960933995,0,0,0
1,3,medium,1,0.020361794,0.168083818,0.79207699,0.019477398,0,0
1,3,long,6,0.103362253,0,0.896637747,0,0,0
1,3,long,5,0.177697187,0.510428235,0.26694501,0.044929568,0,0
1,3,long,3,0.294020657,0.374307735,0.23892382,0.017005541,0.072550602,0
1,3,long,2,0.28034427,0.029076451,0.552985439,0.017132718,0.04024236,0.080218762
1,3,long,1,0.05405348,0.281409045,0.58280168,0.039181869,0.038477071,0.004076855
1,2,xlong,6,0.319060211,0.271999807,0.404335775,0.004604207,0,0
1,2,xlong,5,0.160540608,0.361609708,0.316585238,0.082094262,0.022791457,0.056378727
1,3,long,4,0.321868978,0,0.678131022,0,0,0
1,2,xlong,3,0.239943914,0.419419409,0.172553783,0.082240465,0.068147876,0.017694554
1,2,xlong,2,0.277351986,0.188315409,0.335609587,0.050486215,0.104976492,0.042789208
1,2,xlong,1,0.146550518,0.463049977,0.297299131,0.038602175,0.040887525,0.013610674
1,2,short,3,0,1,0,0,0,0
1,2,short,2,0,0,0,0,0,0
1,2,short,1,0,0.974262766,0.025737234,0,0,0
1,2,medium,6,1,0,0,0,0,0
1,2,medium,5,0,1,0,0,0,0
1,2,medium,4,0,1,0,0,0,0
1,2,xlong,4,0.073946735,0.337862966,0.328260791,0.094126528,0.165802981,0
1,2,medium,3,0.11783832,0.839712201,0,0.042449479,0,0
2,5,long,2,0.065843843,0.069211756,0.316332993,0.018277323,0.524665725,0.00566836
2,4,short,2,0,0,0,1,0,0
2,4,short,4,0,0,0,0,0,0
2,4,xlong,1,0.091988187,0.210135368,0.275747726,0.227043434,0.186275071,0.008810214
2,4,xlong,2,0.148493957,0.251923618,0.290636243,0.218848696,0.077496938,0.012600548
2,5,long,1,0.015929161,0.505160455,0.181038505,0,0.297871879,0
2,4,xlong,4,0.012209059,0.10654445,0.55527398,0.068511327,0.255905978,0
2,4,xlong,5,0.185322351,0.156107493,0.353316054,0.305254102,0,0
2,4,xlong,6,0.808536682,0,0.191463318,0,0,0
2,4,medium,5,0,0,0,1,0,0
2,4,xlong,3,0.111667148,0.205487076,0.339657655,0.288299579,0.054888542,0
2,4,medium,4,0,0,0,0,0,0
2,3,xlong,4,0.005949956,0.297193108,0.356866287,0.128558735,0.211431913,0
2,4,medium,2,0.162468626,0,0.030909368,0.748663915,0.057958091,0
2,4,medium,1,0,0.433086006,0,0.566913994,0,0
2,4,long,5,0,0.089809467,0.289154798,0.621035734,0,0
2,4,long,4,0,0.280228319,0.488496536,0.034263972,0.189011154,0
2,4,long,3,0.022954762,0.087185782,0,0.650642548,0.239216909,0
2,4,long,2,0.186398923,0.00911208,0.286129684,0.300413319,0.217945995,0
2,4,long,1,0,0.81298115,0.074362105,0.112656745,0,0
2,3,xlong,6,0.33999052,0.160266631,0.468063315,0.013707709,0.017971824,0
2,3,xlong,5,0.150672676,0.115655571,0.441406285,0.190875585,0.08627793,0.015111953
2,3,xlong,3,0.17589506,0.214557736,0.45142446,0.06801532,0.079898826,0.009751876
2,5,long,3,0.135251469,0.261246153,0.019532617,0.07889263,0.505077131,0
2,4,medium,3,0,0,0,0,1,0
