MicrotypeID,Mode,VMTPerHour
1,freight_combo,312
1,freight_single,359
2,freight_combo,3084
2,freight_single,3934
3,freight_combo,34593
3,freight_single,14088
4,freight_combo,1538
4,freight_single,1134
5,freight_combo,24662
5,freight_single,20574
6,freight_combo,22278
6,freight_single,10753
