Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaAccessTime,BetaWaitTime,BetaTravelTimeMixed,TripPurposeID
walk,1.97670915,high income,-0.100038616,-0.122791,-0.3127212,0,other
bus,1.51077527,high income,-0.100038616,-0.122791,-0.3127212,0,other
taxi,-3.4692825,high income,-0.100038616,-0.122791,-0.3127212,0,other
rail,0.31552085,high income,-0.100038616,-0.122791,-0.3127212,0,other
rail_c,-0.7307385,high income,-0.100038616,-0.122791,-0.3127212,0,other
hv_pass,-1.6004612,high income,-0.100038616,-0.122791,-0.3127212,0,other
auto,0,high income,-0.100038616,-0.122791,-0.3127212,0,other
bike,-1.9378495,low income,-0.028757525,-0.1684482,-0.2600139,-0.02875755,other
walk,0.75614243,low income,-0.05751505,-0.1684482,-0.2600139,0,other
bus,1.3940532,low income,-0.05751505,-0.1684482,-0.2600139,0,other
taxi,-2.7677599,low income,-0.05751505,-0.1684482,-0.2600139,0,other
rail,0.91041957,low income,-0.05751505,-0.1684482,-0.2600139,0,other
rail_c,0.56971093,low income,-0.05751505,-0.1684482,-0.2600139,0,other
hv_pass,-1.3203961,low income,-0.05751505,-0.1684482,-0.2600139,0,other
auto,0,low income,-0.05751505,-0.1684482,-0.2600139,0,other
