MicrotypeID,DiameterInMiles
E_5,3.75663865774284
E_2,1.60809033148972
E_4,2.23795706229532
C_4,2.38028329383284
C_3,4.69510242432057
C_5,4.20047600939277
E_3,3.38517983772354
E_6,11.594284962187
C_6,10.6286131140453
A_5,2.79901512455773
A_4,2.06784785016359
A_3,3.04749328677867
B_1,0.925889100725433
B_2,1.40791724356552
B_3,3.72359208223863
B_4,2.54459534121309
B_5,3.03236413385638
F_5,3.82101040368744
F_3,4.7777598463923
F_2,1.46785056139982
C_2,1.58833469368929
A_2,1.37115735806133
A_1,0.844542951673512
F_1,0.818024634252911
F_4,1.78257135265413
B_6,8.0392489909812
C_1,0.682720881831669
D_6,11.3746529558306
D_5,3.91648106562074
D_3,4.05105814108194
A_6,4.62062357772014
F_6,12.2321963756774
D_2,1.90669404668178
D_4,2.51935016168609
D_1,0.885063824230817
E_1,1.07576247342089
