SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,Type,vMax,avgLinkLength,densityMax
84,C_1,Auto-Bike,False,3149.4222069653893,Road,16.0,50.0,0.145
85,C_1,Auto-Bus-Bike,False,1404944.2954501468,Road,16.0,50.0,0.145
86,C_1,Bike,True,0.0,BikeLane,4.2,50.0,0.145
87,C_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
89,C_1,Walk,True,1126474.9741256896,Sidewalk,1.4,50.0,0.145
90,C_2,Auto-Bike,False,26654.044460949048,Road,16.0,50.0,0.145
91,C_2,Auto-Bus-Bike,False,11890259.62707212,Road,16.0,50.0,0.145
92,C_2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
93,C_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
95,C_2,Walk,True,9533530.937226458,Sidewalk,1.4,50.0,0.145
96,C_3,Auto-Bike,False,71204.84541313877,Road,16.0,50.0,0.145
97,C_3,Auto-Bus-Bike,False,31764188.72971331,Road,16.0,50.0,0.145
98,C_3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
99,C_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
101,C_3,Walk,True,25468314.860101163,Sidewalk,1.4,50.0,0.145
102,C_4,Auto-Bike,False,70397.06784367072,Road,16.0,50.0,0.145
103,C_4,Auto-Bus-Bike,False,31403842.477722462,Road,16.0,50.0,0.145
104,C_4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
105,C_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
107,C_4,Walk,True,25179391.63645291,Sidewalk,1.4,50.0,0.145
108,C_5,Auto-Bike,False,62745.01505379009,Road,16.0,50.0,0.145
109,C_5,Auto-Bus-Bike,False,27990293.194984354,Road,16.0,50.0,0.145
110,C_5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
111,C_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
113,C_5,Walk,True,22442430.568030518,Sidewalk,1.4,50.0,0.145
114,C_6,Auto-Bike,False,276148.4170214859,Road,16.0,50.0,0.145
115,C_6,Auto-Bus-Bike,False,123188673.25373767,Road,16.0,50.0,0.145
116,C_6,Bike,True,0.0,BikeLane,4.2,50.0,0.145
117,C_6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
119,C_6,Walk,True,98771857.33660735,Sidewalk,1.4,50.0,0.145
120,D_1,Auto-Bike,False,11094.340494649101,Road,16.0,50.0,0.145
121,D_1,Auto-Bus-Bike,False,10321220.871008277,Road,16.0,50.0,0.145
122,D_1,Bike,True,0.0,BikeLane,4.2,50.0,0.145
123,D_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
124,D_1,Rail,True,0.933323283685483,Rail,20.0,50.0,0.145
125,D_1,Walk,True,8265852.16920234,Sidewalk,1.4,50.0,0.145
126,D_2,Auto-Bike,False,182615.68696106548,Road,16.0,50.0,0.145
127,D_2,Auto-Bus-Bike,False,169889939.8792679,Road,16.0,50.0,0.145
128,D_2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
129,D_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
130,D_2,Rail,True,15.36274037101947,Rail,20.0,50.0,0.145
131,D_2,Walk,True,136058044.45298317,Sidewalk,1.4,50.0,0.145
132,D_3,Auto-Bike,False,268698.9993389099,Road,16.0,50.0,0.145
133,D_3,Auto-Bus-Bike,False,249974455.11370268,Road,16.0,50.0,0.145
134,D_3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
135,D_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
136,D_3,Rail,True,22.604591278494624,Rail,20.0,50.0,0.145
137,D_3,Walk,True,200194523.2904333,Sidewalk,1.4,50.0,0.145
138,D_4,Auto-Bike,False,260448.17551036144,Road,16.0,50.0,0.145
139,D_4,Auto-Bus-Bike,False,242298597.75712532,Road,16.0,50.0,0.145
140,D_4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
141,D_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
