BetaAccessTime,InclusiveValue,TripPurposeID,Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaWaitTime
-0.175925282346179,0.860034284248614,other,bike,-2.46838911875537,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,bike,-2.46838911875537,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,bike,-2.46838911875537,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,bike,-2.46838911875537,D,-0.0827812940639312,-0.0249630015186559
-0.175925282346179,0.860034284248614,other,bus,-1.8528924050504,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,bus,-1.8528924050504,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,bus,-1.8528924050504,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,bus,-1.8528924050504,D,-0.0827812940639312,-0.0249630015186559
-0.175925282346179,0.860034284248614,other,rail_c,-4.5893340262922,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,rail_c,-4.5893340262922,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,rail_c,-4.5893340262922,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,rail_c,-4.5893340262922,D,-0.0827812940639312,-0.0249630015186559
-0.175925282346179,0.860034284248614,other,rail,-2.48104767785082,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,rail,-2.48104767785082,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,rail,-2.48104767785082,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,rail,-2.48104767785082,D,-0.0827812940639312,-0.0249630015186559
-0.175925282346179,0.860034284248614,other,taxi,-3.38052755863027,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,taxi,-3.38052755863027,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,taxi,-3.38052755863027,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,taxi,-3.38052755863027,D,-0.0827812940639312,-0.0249630015186559
-0.175925282346179,0.860034284248614,other,walk,1.46227242410792,A,-0.0871327140692443,0
-0.175925282346179,0.860034284248614,other,walk,1.46227242410792,B,-0.0708075575063112,0
-0.175925282346179,0.860034284248614,other,walk,1.46227242410792,C,-0.117022756947692,-0.282462768794243
-0.175925282346179,0.860034284248614,other,walk,1.46227242410792,D,-0.0827812940639312,-0.0249630015186559
-0.141427036802862,0.879156107291677,school,bike,-2.70885089432414,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,bike,-2.70885089432414,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,bike,-2.70885089432414,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,bike,-2.70885089432414,D,-0.0903642260972614,-0.186073571772911
-0.141427036802862,0.879156107291677,school,bus,-0.606754815427262,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,bus,-0.606754815427262,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,bus,-0.606754815427262,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,bus,-0.606754815427262,D,-0.0903642260972614,-0.186073571772911
-0.141427036802862,0.879156107291677,school,rail_c,-4.12788586058703,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,rail_c,-4.12788586058703,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,rail_c,-4.12788586058703,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,rail_c,-4.12788586058703,D,-0.0903642260972614,-0.186073571772911
-0.141427036802862,0.879156107291677,school,rail,-1.87198548241414,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,rail,-1.87198548241414,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,rail,-1.87198548241414,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,rail,-1.87198548241414,D,-0.0903642260972614,-0.186073571772911
-0.141427036802862,0.879156107291677,school,taxi,-5.15293717768331,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,taxi,-5.15293717768331,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,taxi,-5.15293717768331,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,taxi,-5.15293717768331,D,-0.0903642260972614,-0.186073571772911
-0.141427036802862,0.879156107291677,school,walk,0.979295618846491,A,-0.0556503277108728,-0.25183008565602
-0.141427036802862,0.879156107291677,school,walk,0.979295618846491,B,-0.0564218214267874,-0.122756914495842
-0.141427036802862,0.879156107291677,school,walk,0.979295618846491,C,-0.110585952941313,-0.339965089939582
-0.141427036802862,0.879156107291677,school,walk,0.979295618846491,D,-0.0903642260972614,-0.186073571772911
-0.129738247286035,0.963311480429309,social,bike,-1.92274012542091,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,bike,-1.92274012542091,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,bike,-1.92274012542091,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,bike,-1.92274012542091,D,-0.0735993090520612,-0.484103682102517
-0.129738247286035,0.963311480429309,social,bus,1.13771434250597,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,bus,1.13771434250597,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,bus,1.13771434250597,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,bus,1.13771434250597,D,-0.0735993090520612,-0.484103682102517
-0.129738247286035,0.963311480429309,social,rail_c,-0.978701102878812,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,rail_c,-0.978701102878812,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,rail_c,-0.978701102878812,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,rail_c,-0.978701102878812,D,-0.0735993090520612,-0.484103682102517
-0.129738247286035,0.963311480429309,social,rail,-0.0395028464297152,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,rail,-0.0395028464297152,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,rail,-0.0395028464297152,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,rail,-0.0395028464297152,D,-0.0735993090520612,-0.484103682102517
-0.129738247286035,0.963311480429309,social,taxi,-3.94166515340225,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,taxi,-3.94166515340225,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,taxi,-3.94166515340225,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,taxi,-3.94166515340225,D,-0.0735993090520612,-0.484103682102517
-0.129738247286035,0.963311480429309,social,walk,1.70034947920515,A,-0.0509021291727628,-0.427637701948225
-0.129738247286035,0.963311480429309,social,walk,1.70034947920515,B,-0.0708962018751723,-0.347650925854628
-0.129738247286035,0.963311480429309,social,walk,1.70034947920515,C,-0.0888746215862262,-0.634900698232723
-0.129738247286035,0.963311480429309,social,walk,1.70034947920515,D,-0.0735993090520612,-0.484103682102517
-0.129248868068571,1.11494842753478,home,bike,-2.84255277257782,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,bike,-2.84255277257782,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,bike,-2.84255277257782,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,bike,-2.84255277257782,D,-0.0757296819016691,-0.273694844465634
-0.129248868068571,1.11494842753478,home,bus,-0.273651235691339,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,bus,-0.273651235691339,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,bus,-0.273651235691339,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,bus,-0.273651235691339,D,-0.0757296819016691,-0.273694844465634
-0.129248868068571,1.11494842753478,home,rail_c,-2.35913731744117,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,rail_c,-2.35913731744117,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,rail_c,-2.35913731744117,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,rail_c,-2.35913731744117,D,-0.0757296819016691,-0.273694844465634
-0.129248868068571,1.11494842753478,home,rail,-1.42912374926412,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,rail,-1.42912374926412,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,rail,-1.42912374926412,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,rail,-1.42912374926412,D,-0.0757296819016691,-0.273694844465634
-0.129248868068571,1.11494842753478,home,taxi,-4.58664939183336,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,taxi,-4.58664939183336,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,taxi,-4.58664939183336,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,taxi,-4.58664939183336,D,-0.0757296819016691,-0.273694844465634
-0.129248868068571,1.11494842753478,home,walk,1.17605243284317,A,-0.0526815129933504,-0.28428285230839
-0.129248868068571,1.11494842753478,home,walk,1.17605243284317,B,-0.0582368756298745,-0.198600402063811
-0.129248868068571,1.11494842753478,home,walk,1.17605243284317,C,-0.0713021196150312,-0.413924290838066
-0.129248868068571,1.11494842753478,home,walk,1.17605243284317,D,-0.0757296819016691,-0.273694844465634
-0.093710650086398,1.25666826501849,work,bike,-2.89998950167266,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,bike,-2.89998950167266,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,bike,-2.89998950167266,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,bike,-2.89998950167266,D,-0.084752467468926,-0.538779779752459
-0.093710650086398,1.25666826501849,work,bus,2.04375988553762,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,bus,2.04375988553762,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,bus,2.04375988553762,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,bus,2.04375988553762,D,-0.084752467468926,-0.538779779752459
-0.093710650086398,1.25666826501849,work,rail_c,0.112840210858647,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,rail_c,0.112840210858647,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,rail_c,0.112840210858647,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,rail_c,0.112840210858647,D,-0.084752467468926,-0.538779779752459
-0.093710650086398,1.25666826501849,work,rail,0.702813063336543,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,rail,0.702813063336543,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,rail,0.702813063336543,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,rail,0.702813063336543,D,-0.084752467468926,-0.538779779752459
-0.093710650086398,1.25666826501849,work,taxi,-4.3032992733407,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,taxi,-4.3032992733407,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,taxi,-4.3032992733407,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,taxi,-4.3032992733407,D,-0.084752467468926,-0.538779779752459
-0.093710650086398,1.25666826501849,work,walk,1.01537349829196,A,-0.119932281307162,-1.05553087592134
-0.093710650086398,1.25666826501849,work,walk,1.01537349829196,B,-0.0704670608577458,-0.491457630858718
-0.093710650086398,1.25666826501849,work,walk,1.01537349829196,C,-0.0515421905766253,-0.672365271251012
-0.093710650086398,1.25666826501849,work,walk,1.01537349829196,D,-0.084752467468926,-0.538779779752459
0,1.84576153739656,medical,bus,-2.99776373100302,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bus,-2.99776373100302,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bus,-2.99776373100302,C,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bus,-2.99776373100302,D,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bike,-5.04305341396888,A,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bike,-5.04305341396888,B,-0.0553668821687996,0.028320795939901
0,1.84576153739656,medical,bike,-5.04305341396888,C,-0.0553668821687996,0.028320795939901
