TimePeriodID,PopulationGroupTypeID,TripPurposeID,TripGenerationRatePerHour
morning_rush,A,school,3.96176706844413
other_time,A,home,0.876587350792893
evening_rush,A,home,2.37262375341744
other_time,A,school,0.112707932151706
other_time,A,social,0.514732546651488
morning_rush,A,other,0.674738239745308
morning_rush,A,home,0.234278834053624
evening_rush,A,social,1.46893505484302
evening_rush,A,school,0.271344045192898
other_time,A,other,0.151680629600107
evening_rush,A,other,0.437473306947332
other_time,A,work,0.00491524797916162
other_time,A,medical,0.0202280045985997
morning_rush,A,social,0.386205542921519
morning_rush,A,work,0.00424468030112069
other_time,B,home,0.742777161655069
other_time,B,social,0.85842873741613
evening_rush,B,home,1.94045800265169
evening_rush,B,social,1.54391228671998
morning_rush,B,work,0.922696796655666
other_time,B,school,0.0652363261929941
morning_rush,B,school,0.288271850419979
other_time,B,work,0.196513107248938
morning_rush,B,social,0.629524193686863
morning_rush,B,home,0.400900653204079
other_time,B,other,0.15370585592027
morning_rush,B,other,0.458138416305425
other_time,B,medical,0.0487530457645999
evening_rush,B,other,0.319132915916651
evening_rush,B,school,0.144375270832639
evening_rush,B,work,0.180721014891967
morning_rush,B,medical,0.0979652499894326
evening_rush,B,medical,0.0207852292499352
morning_rush,C,school,4.46148244673876
other_time,C,social,0.880750929412552
other_time,C,home,1.17183420315003
evening_rush,C,home,3.22857169456226
morning_rush,C,other,0.646743791670674
other_time,C,school,0.141789499135983
evening_rush,C,social,2.65103032632459
other_time,C,other,0.178918715660276
morning_rush,C,social,0.472139262727768
other_time,C,medical,0.0306194081257672
evening_rush,C,school,0.353289460091753
evening_rush,C,other,0.495243594603055
morning_rush,C,work,0.0337385490874592
morning_rush,C,home,0.14859469229376
evening_rush,C,medical,0.0341605898099863
other_time,C,work,0.00490457853623505
other_time,D,other,0.148679270005831
evening_rush,D,home,2.40048259468201
other_time,D,social,0.852719789946136
other_time,D,work,0.253365518260215
morning_rush,D,work,1.55181020105189
other_time,D,home,0.735646329518736
evening_rush,D,social,1.83575965660815
morning_rush,D,other,0.502462211414814
morning_rush,D,social,0.647830149666523
morning_rush,D,medical,0.0479457964421678
morning_rush,D,home,0.410840271945177
evening_rush,D,school,0.143842705059514
other_time,D,medical,0.0317781677923667
other_time,D,school,0.0564472417161702
