MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacingKM,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,coveragePortion,StopSpacing,PassengerWait,PassengerWaitDedicated,MinStopTime,VehicleOperatingCostPerHour,CoveragePortion,PerEndCost,PerMileCost
2,2.3135352,1529,F,10586.2829121343,0.5,900.007871195111,40.0,3.0,,1433053.0,18841.0850291789,258373.627500848,0.0,400.0,6.0,3.0,7.0,76.45,0.7174794343686429,0.0,0.0
3,2.4400459,1529,F,3752.22940880408,0.5,900.0078711951077,40.0,3.0,,507935.0,6678.08275360086,91578.614667178,0.0,400.0,6.0,3.0,7.0,76.45,0.2389734079095327,0.0,0.0
5,2.4109081,1529,F,5590.99800440045,0.5,900.0078711951095,40.0,3.0,,756847.0,9950.65687108498,136456.435912094,0.0,400.0,6.0,3.0,7.0,76.45,0.2246273700357066,0.0,0.0
6,2.1450151,1529,F,144.338961517956,0.5,900.0078711951085,40.0,3.0,,19539.0,256.889284893947,3522.80223253367,0.0,400.0,6.0,3.0,7.0,76.45,0.0134351915606341,0.0,0.0
