TimePeriodID,PopulationGroupID,TripPurposeID,TripGenerationRatePerHour
0,HighIncVeh,home,0.00853864039628896
0,LowIncNoVeh,home,0.0202108733108245
0,LowIncVeh,home,0.0110189230611625
0,HighIncVeh,other,0.000908182921343212
0,LowIncVeh,work,0.000295860503095445
0,HighIncVeh,leisure,0.00112292911267292
0,LowIncVehSenior,home,0.00339052138066209
0,LowIncVeh,leisure,0.00192528127836528
0,HighIncVeh,work,0.000230803286329362
0,HighIncNoVeh,home,0.014257744939113
0,LowIncVeh,other,0.000518177760617351
0,HighIncNoVeh,work,0.00183804626473824
0,HighIncNoVeh,leisure,0.0112861419543484
0,LowIncNoVeh,other,0.00111494922692599
0,LowIncNoVehSenior,home,0.00558632150304568
0,HighIncVeh,medical,3.39029103378185e-06
0,HighIncVehSenior,home,0.00238624644539311
0,LowIncVehSenior,leisure,0.000619738343319948
0,LowIncNoVehSenior,leisure,3.36185956141308e-05
0,LowIncVehSenior,other,0.000379670946071856
0,HighIncVehSenior,leisure,0.000165194363952264
0,HighIncVeh,school,1.03823368971745e-05
0,LowIncNoVeh,leisure,0.000427011816699192
0,HighIncNoVehSenior,home,0.0173162279797078
0,LowIncVeh,school,2.57179109097116e-06
0,HighIncVehSenior,other,1.39611059417329e-05
0,HighIncVehSenior,work,2.73019551462115e-05
0,LowIncNoVeh,medical,0.000121114748620729
0,HighIncNoVehSenior,leisure,0.000210827706832874
1,LowIncVeh,home,0.00546926590726468
1,HighIncVeh,home,0.00561827880002707
1,HighIncVeh,work,0.000111223198782521
1,HighIncVehSenior,home,0.00102748302830091
1,LowIncVehSenior,other,5.38274184121876e-05
1,LowIncNoVeh,other,0.000165312630401956
1,HighIncVeh,leisure,0.000950781224050724
1,LowIncNoVeh,leisure,0.00054405926303171
1,LowIncVeh,other,0.000287785269273191
1,HighIncVeh,other,0.000625326858242083
1,LowIncVeh,work,9.78926153020461e-05
1,LowIncVeh,leisure,0.00167872940797127
1,HighIncVehSenior,other,8.26387396146978e-05
1,LowIncNoVeh,home,0.00794939336243111
1,LowIncVehSenior,leisure,0.000139543513825021
1,LowIncVehSenior,home,0.00190331680443494
1,HighIncVehSenior,leisure,6.5141110644805e-05
1,HighIncNoVeh,home,0.0143043173324722
1,LowIncNoVehSenior,home,0.000174678021110604
1,HighIncVeh,school,1.06560908167703e-06
1,HighIncNoVeh,leisure,0.00182956902297612
2,LowIncVeh,home,0.0053329407483206
2,HighIncVeh,home,0.00211839379152367
2,LowIncVeh,other,0.000110400029362274
2,LowIncVehSenior,other,4.98088438107613e-05
2,HighIncVeh,other,3.09227150015975e-05
2,HighIncVeh,leisure,0.000228444669321776
2,LowIncVeh,work,0.000136966153486334
2,LowIncVeh,leisure,0.00054369457781731
2,LowIncNoVeh,home,0.00177205617417638
2,HighIncVeh,work,6.88009835463238e-05
2,HighIncVehSenior,home,0.00012435811240953
2,LowIncVehSenior,home,0.000806331189928532
2,HighIncNoVeh,home,0.00955383641032375
2,LowIncVehSenior,work,1.42568924576339e-05
2,LowIncNoVehSenior,home,0.000128385738300595
2,HighIncNoVeh,leisure,0.00181830315930909
2,HighIncVehSenior,leisure,9.01072953452838e-05
2,LowIncNoVeh,leisure,1.2224075966582e-05
2,HighIncVeh,school,3.59533079050124e-06
2,LowIncNoVeh,school,0.000854581891596458
2,LowIncNoVehSenior,leisure,0.000176673555222293
2,LowIncVehSenior,medical,3.00273264694506e-05
2,HighIncNoVehSenior,home,0.0140955577858266
3,HighIncVeh,home,0.00141351655839056
3,LowIncNoVeh,home,0.00100755800466996
3,LowIncVeh,home,0.00210433148422005
3,HighIncVehSenior,home,0.000298252371506683
3,HighIncVeh,work,0.000142285688582515
3,LowIncVeh,work,0.00012909171330938
3,HighIncNoVeh,home,0.00173115266825744
3,HighIncVeh,other,5.58719107071277e-06
3,LowIncVeh,leisure,0.000370477130484052
3,LowIncVeh,other,0.000428382979663622
3,HighIncVeh,leisure,0.000158198439714797
3,LowIncVehSenior,home,0.000110436536944319
3,LowIncNoVeh,leisure,0.000107118926063952
3,HighIncVehSenior,leisure,2.50742204021176e-05
3,HighIncNoVeh,work,0.000754943711203051
4,HighIncVeh,home,0.00164500290864592
4,HighIncVeh,leisure,0.00281801476161306
4,HighIncVeh,work,0.0102411790852385
4,LowIncVehSenior,leisure,0.00164848066476388
4,LowIncVeh,other,0.00157155566345993
4,LowIncVeh,work,0.0119850195546256
4,HighIncVeh,other,0.00126669923229283
