cost_group,f_sys,MicrotypeID,fsys_weight,microtype,Location,Functional Class,Category,Resurface Existing Lane (RESURFACING),"Add Lane, If No Obstacles (Normal Cost)","Add Lane, If Obstacle Code A",cost_class,restripe,add_obsA,add_noobs,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,Unnamed: 17
7,5,5,0.270054748,5,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,628148.1191,8713710.315,0.071427483
7,6,5,0.26899929,5,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,628148.1191,8713710.315,0.071427483
7,7,5,0.000275859,5,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,628148.1191,8713710.315,0.071427483
7,1,6,0.044336553,6,URBAN,Interstate,Major Urbanized,844000,3651000,11172000,urban_major,844000,11172000,3651000,670885.7008,9220039.06,0.076287225
7,2,6,0.021502802,6,URBAN,Other Freeway and Expressway,Major Urbanized,799000,3504000,10612000,urban_major,799000,10612000,3504000,670885.7008,9220039.06,0.076287225
7,3,6,0.26388095899999997,6,URBAN,Other Principal Arterial,Major Urbanized,755000,3361000,10154000,urban_major,755000,10154000,3361000,670885.7008,9220039.06,0.076287225
7,4,6,0.261625015,6,URBAN,Minor Arterial,Major Urbanized,684000,3021000,9262000,urban_major,684000,9262000,3021000,670885.7008,9220039.06,0.076287225
7,5,6,0.392950198,6,URBAN,Major Collector,Major Urbanized,585000,2594000,8337000,urban_major,585000,8337000,2594000,670885.7008,9220039.06,0.076287225
7,6,6,0.015664194,6,URBAN,Minor Collector,Major Urbanized,524000,2320000,7508000,urban_major,524000,7508000,2320000,670885.7008,9220039.06,0.076287225
7,7,6,4.03e-05,6,URBAN,Local,Major Urbanized,481000,2142000,6769000,urban_major,481000,6769000,2142000,670885.7008,9220039.06,0.076287225
1,1,7,0.7958831209999999,7,RURAL,Interstate,Flat,336000,1625000,4511000,rural_flat,336000,4511000,1625000,331644.2844,1610217.905,0.037711673
1,2,7,0.19044797600000002,7,RURAL,Other Freeway and Expressway,Flat,316000,1557000,4254000,rural_flat,316000,4254000,1557000,331644.2844,1610217.905,0.037711673
1,3,7,0.013668903,7,RURAL,Other Principal Arterial,Flat,296000,1491000,4073000,rural_flat,296000,4073000,1491000,331644.2844,1610217.905,0.037711673
1,4,7,0.0,7,RURAL,Minor Arterial,Flat,269000,1360000,3685000,rural_flat,269000,3685000,1360000,331644.2844,1610217.905,0.037711673
1,5,7,0.0,7,RURAL,Major Collector,Flat,240000,1228000,3382000,rural_flat,240000,3382000,1228000,331644.2844,1610217.905,0.037711673
1,6,7,0.0,7,RURAL,Minor Collector,Flat,212000,1117000,3046000,rural_flat,212000,3046000,1117000,331644.2844,1610217.905,0.037711673
1,7,7,0.0,7,RURAL,Local,Flat,192000,1043000,2808000,rural_flat,192000,2808000,1043000,331644.2844,1610217.905,0.037711673
