PopulationGroupID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed
LowIncNoVehSenior,work,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,work,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,work,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,work,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,work,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,work,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,work,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,work,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,work,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVehSenior,work,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
