PopulationGroupID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed
LowIncVehSenior,leisure,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,leisure,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,leisure,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,leisure,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,leisure,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,leisure,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,leisure,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,leisure,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVehSenior,leisure,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVehSenior,leisure,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVehSenior,leisure,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVehSenior,leisure,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVehSenior,leisure,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVehSenior,leisure,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVehSenior,leisure,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVeh,other,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,other,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,other,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,other,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,other,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,other,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,other,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,other,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,other,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,other,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,other,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,other,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,other,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,other,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,other,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,other,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,other,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVeh,other,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVeh,other,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVeh,other,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVeh,other,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVeh,other,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVeh,other,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVeh,other,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVehSenior,other,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,other,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,other,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,other,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,other,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,other,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,other,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,other,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,other,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,other,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,other,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,other,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,other,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,other,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,other,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,other,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,other,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVehSenior,other,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVehSenior,other,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVehSenior,other,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVehSenior,other,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVehSenior,other,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVehSenior,other,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVehSenior,other,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVeh,medical,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,medical,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,medical,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,medical,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,medical,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,medical,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,medical,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,medical,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,medical,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,medical,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,medical,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,medical,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,medical,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,medical,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,medical,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,medical,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,medical,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVeh,medical,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVeh,medical,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVeh,medical,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVeh,medical,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVeh,medical,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVeh,medical,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVeh,medical,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
LowIncNoVehSenior,medical,hv,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,medical,hv,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,medical,hv,-3.602,-0.148,-0.065,-0.019,0.0,-3.466,-0.142,-0.044,-0.022,0.0,-3.503,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,medical,hv,0.0,-0.148,-0.065,-0.019,0.0,0.0,-0.142,-0.044,-0.022,0.0,0.0,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,medical,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,medical,Bus,-2.896,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,medical,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,medical,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,medical,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVehSenior,medical,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVehSenior,medical,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVehSenior,medical,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVehSenior,medical,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVehSenior,medical,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVehSenior,medical,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVehSenior,medical,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVehSenior,medical,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVehSenior,medical,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVehSenior,medical,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVehSenior,medical,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVehSenior,medical,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVehSenior,medical,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
HighIncNoVehSenior,medical,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
HighIncVehSenior,medical,Walk,0.825,-0.148,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.04,0.0,0.0
