BetaTravelTime,BetaAccessTime,BetaWaitTime,BetaWaitTimeSquared,Intercept_bike,Intercept_walk,Intercept_bus,Intercept_taxi,Intercept_rail_l,Intercept_rail_c,InclusiveValue,TripPurposeID,PopulationGroupID
-0.027635392702751,-0.070498418451555,-2.73305448296086,0.0778016922836457,-9.46257407799378,-1.07040302620992,12.1395436562082,-6.07919950415864,9.49403356723015,-0.5269702846888,3.46036524525556,home,A
-0.027635392702751,-0.070498418451555,-2.73305448296086,0.0778016922836457,-9.46257407799378,-1.07040302620992,12.1395436562082,-6.07919950415864,9.49403356723015,-0.5269702846888,3.46036524525556,home,B
-0.027635392702751,-0.070498418451555,-2.73305448296086,0.0778016922836457,-9.46257407799378,-1.07040302620992,12.1395436562082,-6.07919950415864,9.49403356723015,-0.5269702846888,3.46036524525556,home,C
-0.027635392702751,-0.070498418451555,-2.73305448296086,0.0778016922836457,-9.46257407799378,-1.07040302620992,12.1395436562082,-6.07919950415864,9.49403356723015,-0.5269702846888,3.46036524525556,home,D
-0.0215158415568617,-0.299226659415512,-5.25043598747911,0.228275632940994,-11.8744046795102,-2.61833034733334,23.3856764554852,-3.57489234839196,15.4944784714094,-96.4356013372102,4.35411463959436,medical,A
-0.0215158415568617,-0.299226659415512,-5.25043598747911,0.228275632940994,-11.8744046795102,-2.61833034733334,23.3856764554852,-3.57489234839196,15.4944784714094,-96.4356013372102,4.35411463959436,medical,B
-0.0215158415568617,-0.299226659415512,-5.25043598747911,0.228275632940994,-11.8744046795102,-2.61833034733334,23.3856764554852,-3.57489234839196,15.4944784714094,-96.4356013372102,4.35411463959436,medical,C
-0.0215158415568617,-0.299226659415512,-5.25043598747911,0.228275632940994,-11.8744046795102,-2.61833034733334,23.3856764554852,-3.57489234839196,15.4944784714094,-96.4356013372102,4.35411463959436,medical,D
-0.0403370165198794,-0.265463197225516,-3.45903126038245,0.103938307057764,-11.2305298180301,-0.320025308804713,15.409612233193,-3.19341839110699,12.9712676130908,0.663298597833152,3.68652502475518,other,A
-0.0403370165198794,-0.265463197225516,-3.45903126038245,0.103938307057764,-11.2305298180301,-0.320025308804713,15.409612233193,-3.19341839110699,12.9712676130908,0.663298597833152,3.68652502475518,other,B
-0.0403370165198794,-0.265463197225516,-3.45903126038245,0.103938307057764,-11.2305298180301,-0.320025308804713,15.409612233193,-3.19341839110699,12.9712676130908,0.663298597833152,3.68652502475518,other,C
-0.0403370165198794,-0.265463197225516,-3.45903126038245,0.103938307057764,-11.2305298180301,-0.320025308804713,15.409612233193,-3.19341839110699,12.9712676130908,0.663298597833152,3.68652502475518,other,D
-0.0346185945690324,-0.892558927946862,-4.41835818960915,0.213517838990302,-42.9766050924172,-2.25027780066455,17.7882230116965,-34.1529993844888,-1.54838785793724,-116.809771417353,16.6481927878715,school,A
-0.0346185945690324,-0.892558927946862,-4.41835818960915,0.213517838990302,-42.9766050924172,-2.25027780066455,17.7882230116965,-34.1529993844888,-1.54838785793724,-116.809771417353,16.6481927878715,school,B
-0.0346185945690324,-0.892558927946862,-4.41835818960915,0.213517838990302,-42.9766050924172,-2.25027780066455,17.7882230116965,-34.1529993844888,-1.54838785793724,-116.809771417353,16.6481927878715,school,C
-0.0346185945690324,-0.892558927946862,-4.41835818960915,0.213517838990302,-42.9766050924172,-2.25027780066455,17.7882230116965,-34.1529993844888,-1.54838785793724,-116.809771417353,16.6481927878715,school,D
-0.0395228119602532,-0.188494241844847,-4.18824657895906,0.12138223795092,-8.51466185127716,-0.401631268222836,20.1243469387063,-3.88256498050448,16.590635871961,3.01127607005931,3.55104688200718,social,A
-0.0395228119602532,-0.188494241844847,-4.18824657895906,0.12138223795092,-8.51466185127716,-0.401631268222836,20.1243469387063,-3.88256498050448,16.590635871961,3.01127607005931,3.55104688200718,social,B
-0.0395228119602532,-0.188494241844847,-4.18824657895906,0.12138223795092,-8.51466185127716,-0.401631268222836,20.1243469387063,-3.88256498050448,16.590635871961,3.01127607005931,3.55104688200718,social,C
-0.0395228119602532,-0.188494241844847,-4.18824657895906,0.12138223795092,-8.51466185127716,-0.401631268222836,20.1243469387063,-3.88256498050448,16.590635871961,3.01127607005931,3.55104688200718,social,D
-0.036649941122564,-0.0914491264112779,-2.38864672237322,0.0600812868143752,-6.77280783605119,-1.12917061303208,10.9017966281213,-5.08017767501296,9.48097431051876,9.59897078361839,2.52404936906431,work,A
-0.036649941122564,-0.0914491264112779,-2.38864672237322,0.0600812868143752,-6.77280783605119,-1.12917061303208,10.9017966281213,-5.08017767501296,9.48097431051876,9.59897078361839,2.52404936906431,work,B
-0.036649941122564,-0.0914491264112779,-2.38864672237322,0.0600812868143752,-6.77280783605119,-1.12917061303208,10.9017966281213,-5.08017767501296,9.48097431051876,9.59897078361839,2.52404936906431,work,C
-0.036649941122564,-0.0914491264112779,-2.38864672237322,0.0600812868143752,-6.77280783605119,-1.12917061303208,10.9017966281213,-5.08017767501296,9.48097431051876,9.59897078361839,2.52404936906431,work,D
