MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond,VehicleOperatingCostPerHour
1,0,0.0,0.11145299,0.2,1.4,0.0
2,0,0.0,0.1052207,0.2,1.4,0.0
3,0,0.003331238,0.1096112,0.2,1.4,0.0
4,0,0.0,0.1056565,0.2,1.4,0.0
5,0,0.0,0.10748404,0.2,1.4,0.0
6,0,0.009096491,0.11230108,0.2,1.4,0.0
