MicrotypeID,Mode,VMTPerHour
2,freight_combo,209
2,freight_single,204
4,freight_combo,0
4,freight_single,0
5,freight_combo,6459
5,freight_single,4997
6,freight_combo,15289
6,freight_single,7348
