MicrotypeID,PerStartCost,DailyCostPerVehicle,DirectionalRouteMiles,PopulationMicrotypeID,SpeedInMetersPerSecond,StopSpacingKM,Headway,VehicleCapacity,VehicleSize,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,CoveragePortion,StopSpacing,VehicleOperatingCostPerHour,PerEndCost,PerMileCost
A_1,2.8694963,3990,5531.13985773877,5669015.0,9.484492139992907,0.4631395,48006.39457447708,,,85132.5342532336,1816737.41696056,1.0,1200.0,199.5,0.0,0.0
A_2,2.4753756,3990,5848.31071573335,5994092.0,9.484492139992916,0.7413098,48006.39457447704,,,90014.2692349612,1920914.16535394,1.0,1200.0,199.5,0.0,0.0
A_3,2.5128943,3990,3791.54487369407,3886057.0,9.4844921399929,0.6308624,48006.39457447724,,,58357.5595870743,1245356.58422874,1.0,1200.0,199.5,0.0,0.0
A_4,2.038843,3990,617.568815353974,632963.0,9.484492139992932,0.5682079,48006.39457447702,,,9505.30987808808,202844.332860578,1.0,1200.0,199.5,0.0,0.0
A_5,2.310196,3990,1713.81461329934,1756535.0,9.48449213999294,0.9951305,48006.394574476944,,,26378.1761125175,562913.109014674,1.0,1200.0,199.5,0.0,0.0
A_6,3.09265,3990,15.8011241804933,16195.0,9.484492139992922,1.1073607,48006.39457447695,,,243.202988919789,5189.97788287318,0.167946182899212,1200.0,199.5,0.0,0.0
B_1,3.1269672,3580,635.238288514133,919322.0,9.228510023344244,0.3520424,163258.41299822502,,,2954.7694587462,61353.2690250992,1.0,1200.0,179.0,0.0,0.0
B_2,2.5762055,3580,1940.13907849008,2807785.0,9.228510023344262,0.7502712,163258.41299822516,,,9024.43035707368,187384.60351176,1.0,1200.0,179.0,0.0,0.0
B_3,2.998836,3580,719.050008160508,1040615.0,9.228510023344256,1.0022049,163258.41299822475,,,3344.61420515682,69448.0628621459,1.0,1200.0,179.0,0.0,0.0
B_4,5.0365679,3580,96.1665426557588,139173.0,9.228510023344253,1.1885825,163258.41299822502,,,447.312399662017,9288.06066865596,1.0,1200.0,179.0,0.0,0.0
B_5,2.4719605,3580,968.737664449145,1401965.0,9.228510023344256,0.9537372,163258.41299822487,,,4506.02004980966,93563.6651888819,0.706781158781117,1200.0,179.0,0.0,0.0
B_6,2.3952569,3580,276.588417730377,400281.0,9.228510023344256,1.0959235,163258.41299822493,,,1286.53298160643,26713.7606612653,0.2111103582109196,1200.0,179.0,0.0,0.0
