origin microtype,mode,fraction
A,auto,0.523528338
A,bike,0.014784594
A,bus,0.201638307
A,rail,0.024245475
A,walk,0.211866834
B,auto,0.63614472
B,bike,0.014285876
B,bus,0.218228259
B,rail,0.007462841
B,walk,0.115531321
C,auto,0.638438379
C,bike,0.009560914
C,bus,0.225596448
C,rail,0.010286149
C,walk,0.104074321
D,auto,0.749613772
D,bike,0.014795991
D,bus,0.113538277
D,rail,0.010498579
D,walk,0.106995674
