microtype,hour,speed (mph),source
A,0,25.627607495231054,HERE mean speed
A,1,20.64851938948764,HERE mean speed
A,2,23.39481608251187,HERE mean speed
B,0,31.70278940549377,HERE mean speed
B,1,28.571273053809488,HERE mean speed
B,2,30.424482264045334,HERE mean speed
C,0,42.30364174504903,HERE mean speed
C,1,35.16640468459468,HERE mean speed
C,2,41.98105447861891,HERE mean speed
D,0,36.77004429792934,HERE mean speed
D,1,33.43300077790743,HERE mean speed
D,2,35.54009881422924,HERE mean speed
