MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond
1,0,0.512862989,0.10060842,0.2,1.4
2,0,0.3352081,0.10695525,0.2,1.4
3,0,0.449233723,0.10639796,0.2,1.4
4,0,0.29858069,0.10396663,0.2,1.4
5,0,0.03749547,0.10610224,0.2,1.4
6,0,0.0,0.10603483,0.2,1.4
