MicrotypeID,SpeedInMetersPerSecond,VehicleSize,VehicleOperatingCostPerHour,PerEndCost,PerStartCost,PerMileCost
1,1.4,0.2,0.0,0.0,0.0,0.0
2,1.4,0.2,0.0,0.0,0.0,0.0
3,1.4,0.2,0.0,0.0,0.0,0.0
4,1.4,0.2,0.0,0.0,0.0,0.0
5,1.4,0.2,0.0,0.0,0.0,0.0
6,1.4,0.2,0.0,0.0,0.0,0.0
