MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacing,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,coveragePortion,PassengerWait,PassengerWaitDedicated,MinStopTime,CoveragePortion,VehicleOperatingCostPerHour,PerEndCost,PerMileCost
1,1.8755957,1370,C,381.83630489473296,0.5,1934.2226627332707,40.0,3.0,400.0,398744,588.514234375862,8528.1434703814,0.0,6.0,3.0,7.0,0.08758967778153888,57.083333333333336,0.0,0.0
2,1.7746306,1370,C,10453.214129386,0.5,1934.222662733259,40.0,3.0,400.0,10916082,16111.2634688274,233467.872696387,0.0,6.0,3.0,7.0,0.1118691539814038,57.083333333333336,0.0,0.0
3,1.7461449,1370,C,9204.24349517817,0.5,1934.2226627332693,40.0,3.0,400.0,9611807,14186.2579438777,205572.67095082602,0.0,6.0,3.0,7.0,0.04224164535170986,57.083333333333336,0.0,0.0
4,1.6027705,1370,C,5107.44744740503,0.5,1934.2226627332684,40.0,3.0,400.0,5333605,7871.9741564469205,114072.55947260301,0.0,6.0,3.0,7.0,0.06779669225847165,57.083333333333336,0.0,0.0
5,1.6410918,1370,C,24845.0885509785,0.5,1934.222662733272,40.0,3.0,400.0,25945228,38293.0802523102,554903.965340561,0.0,6.0,3.0,7.0,0.0433545646232729,57.083333333333336,0.0,0.0
6,1.4173441,1370,C,9320.31007215757,0.5,1934.2226627332668,40.0,3.0,400.0,9733013,14365.148300326298,208164.966151434,0.0,6.0,3.0,7.0,0.01017272396350951,57.083333333333336,0.0,0.0
