MicrotypeID,Mode,VMTPerHour
2,freight_combo,215
2,freight_single,574
3,freight_combo,4455
3,freight_single,1316
5,freight_combo,1561
5,freight_single,1528
6,freight_combo,1296
6,freight_single,401
