FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
1,3,short,2,0.0334762345249012
1,2,short,1,0.393204954449801
1,2,short,2,0.606795045550199
1,1,short,1,1.0
1,6,xlong,6,0.386113863093623
1,5,medium,1,0.17605009524996
1,5,medium,2,0.20596999237843
1,3,medium,1,0.40429135548958
1,5,xlong,1,0.0675419414342715
1,5,xlong,2,0.189059792600879
1,5,xlong,5,0.536277024277968
1,2,medium,3,0.0664652968485241
1,3,medium,2,0.0677598622910524
1,4,long,1,0.0965690902170727
1,2,medium,1,0.300135090767834
1,1,long,1,1.0
1,2,medium,5,0.0727756501891368
1,2,long,4,0.005492603700405
1,2,xlong,5,0.125445271986252
1,6,xlong,1,0.0195324916967132
1,3,xlong,1,0.10062776298963
1,3,long,3,0.607585165666537
1,6,xlong,2,0.0736468235268162
1,3,xlong,2,0.137619671047598
1,3,xlong,5,0.245524479925178
1,3,medium,3,0.51094287876416
1,3,xlong,3,0.47271216599904
1,6,xlong,3,0.135680439977916
1,3,short,3,0.610028003949085
1,3,short,1,0.356495761526013
1,2,xlong,1,0.0360964095496966
1,2,xlong,2,0.258850283736834
1,2,xlong,3,0.560063885955937
1,6,xlong,5,0.351779827955994
1,2,medium,2,0.560623962194505
1,3,medium,5,0.0170059034552073
1,4,long,4,0.79527134888685
1,3,long,2,0.264459441161451
1,3,long,1,0.127955393172011
1,4,xlong,1,0.0348269419191395
1,4,xlong,2,0.353390781976738
1,4,xlong,4,0.0664621300900435
1,2,xlong,4,0.0172256620922834
1,5,long,3,0.139274952712831
1,5,xlong,3,0.173060992789455
1,5,medium,5,0.61797991237161
1,2,long,1,0.126603539449244
1,4,long,2,0.108159560896078
1,2,long,2,0.568313081438827
1,4,short,4,0.0393189112401018
1,4,xlong,5,0.545320146014079
1,4,short,2,0.476488197480345
1,2,long,3,0.137771718969773
1,5,long,5,0.452481658932073
1,5,long,1,0.0712213076940215
1,5,long,2,0.337022080661074
1,2,long,5,0.16181905644175
1,4,short,1,0.484192891279553
2,5,short,5,0.393996722472538
2,3,xlong,4,0.0014219480546632
2,3,medium,4,0.0025292452740564
2,2,xlong,6,0.0007407390255501
2,5,long,4,0.0014815600257304
2,1,medium,5,0.0068893834308096
2,1,medium,2,0.650698216943261
2,2,long,4,0.0057530175260292
2,1,medium,1,0.327001957277547
2,3,long,4,0.0099371116556321
2,4,long,2,0.629584410849478
2,2,medium,5,0.0274158588404197
