FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
A_1,A_5,xlong,B_4,0.0027838231045056
A_1,A_4,medium,A_5,0.0136752963778818
A_1,B_3,xlong,B_1,0.0042192364377898
A_1,A_2,short,A_5,0.0002858101300189
A_1,B_5,xlong,A_1,0.0214380252956387
A_1,A_2,medium,A_6,0.0002183049657487
A_1,B_5,xlong,A_3,0.235426318444394
A_1,B_5,xlong,A_2,0.0539043835354759
A_1,B_5,xlong,A_5,0.177206607343235
A_1,A_5,xlong,A_4,0.0516664723614171
A_1,B_5,xlong,A_4,0.0291372857322001
A_1,A_2,long,A_3,0.270376068053743
A_1,B_5,xlong,B_3,0.0858829963649968
A_1,B_5,xlong,B_6,0.149220078621735
A_1,B_5,xlong,B_2,0.0117566594329642
A_1,A_5,xlong,A_5,0.232201280219548
A_1,A_5,xlong,A_3,0.426031608843132
A_1,A_5,xlong,A_2,0.108432705656815
A_1,A_5,xlong,A_1,0.0683329513936689
A_1,B_5,xlong,C_5,0.0010346491580462
A_1,B_5,xlong,B_5,0.159105866523279
A_1,A_4,short,A_3,0.0454302992840035
A_1,A_3,xlong,A_2,0.114427736502351
A_1,C_3,xlong,A_5,0.0384620342910283
A_1,C_3,xlong,A_6,0.0171391064669946
A_1,C_3,xlong,A_4,0.0138277125305824
A_1,C_3,xlong,A_2,0.0246055488665429
A_1,C_3,xlong,A_3,0.0549224771141367
A_1,C_3,xlong,A_1,0.0139242362122274
A_1,C_5,xlong,B_1,0.0006476693171892
A_1,B_6,xlong,A_4,0.0040007463979561
A_1,A_3,xlong,A_3,0.669356411353143
A_1,B_6,xlong,C_5,0.0029555355494347
A_1,A_3,long,A_2,0.152091543369077
A_1,A_3,long,A_3,0.559752421838774
A_1,A_3,xlong,A_1,0.120369766690238
A_1,A_3,xlong,A_5,0.0390900322254232
A_1,B_3,xlong,C_6,0.0107443670177312
A_1,B_3,xlong,C_2,0.0002133204191268
A_1,B_3,xlong,C_1,6.03038904815556e-05
A_1,B_3,xlong,C_3,0.0011441628579056
A_1,A_3,long,A_1,0.255637329059282
A_1,A_1,long,A_2,0.137739759387203
A_1,A_4,long,A_3,0.168095636994339
A_1,A_6,medium,A_6,0.476224537194791
A_1,A_4,xlong,A_4,0.1177114336503
A_1,A_4,xlong,A_3,0.585604770571547
A_1,A_4,short,A_2,0.087676935196098
A_1,A_4,short,A_4,0.357631961863857
A_1,A_4,xlong,A_2,0.121694068425896
A_1,A_4,xlong,A_5,0.080114186781296
A_1,C_4,xlong,C_4,0.149932640280145
A_1,A_2,xlong,A_5,0.0651144627267355
A_1,A_4,xlong,A_1,0.0946922267150482
A_1,C_4,xlong,B_6,0.534552014601765
A_1,C_4,xlong,B_2,0.007764340613061
A_1,C_4,xlong,B_1,0.0160262462884949
A_1,C_4,xlong,A_5,0.169854761220895
A_1,C_4,xlong,A_3,0.0216753603138314
A_1,C_4,xlong,A_4,0.0509160963239589
