MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond,VehicleOperatingCostPerHour
1,0,0.0,0.10406524,0.2,1.4,0.0
2,0,0.0,0.10859436,0.2,1.4,0.0
3,0,0.055449331,0.1030464,0.2,1.4,0.0
4,0,0.0,0.10212988,0.2,1.4,0.0
5,0,0.014027705,0.10655129,0.2,1.4,0.0
6,0,0.008035714000000001,0.10952962,0.2,1.4,0.0
